onset	duration	sample	trial_type	response_time	stim_file	value	correct
6.5480000000	n/a	6548	ignore	n/a	n/a	n/a	n/a
9.6480000000	n/a	9648	ignore	n/a	n/a	n/a	n/a
12.6630000000	n/a	12663	ignore	n/a	n/a	n/a	n/a
30.5320000000	n/a	30532	ignore	n/a	n/a	n/a	n/a
33.6320000000	n/a	33632	ignore	n/a	n/a	n/a	n/a
36.6190000000	n/a	36619	ignore	n/a	n/a	n/a	n/a
51.9980000000	n/a	51998	NeuStim	n/a	n/a	n/a	n/a
55.0980000000	n/a	55098	NeuNonAlcP1000	n/a	n/a	n/a	n/a
60.0850000000	n/a	60085	NeuNonAlcP1000	n/a	n/a	n/a	n/a
71.8320000000	n/a	71832	PosStim	n/a	n/a	n/a	n/a
74.8650000000	n/a	74865	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
89.4980000000	n/a	89498	NeuStim	n/a	n/a	n/a	n/a
92.5980000000	n/a	92598	NeuAlcP2000	n/a	n/a	n/a	n/a
96.5850000000	n/a	96585	NeuAlcP2000	n/a	n/a	n/a	n/a
109.4310000000	n/a	109431	NegStim	n/a	n/a	n/a	n/a
112.5310000000	n/a	112531	NegNonAlcP2000	n/a	n/a	n/a	n/a
116.5180000000	n/a	116518	NegNonAlcP2000	n/a	n/a	n/a	n/a
127.9810000000	n/a	127981	NeuStim	n/a	n/a	n/a	n/a
131.0150000000	n/a	131015	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
146.3150000000	n/a	146315	PosStim	n/a	n/a	n/a	n/a
149.4150000000	n/a	149415	PosNonAlcP1000	n/a	n/a	n/a	n/a
154.4020000000	n/a	154402	PosNonAlcP1000	n/a	n/a	n/a	n/a
162.6150000000	n/a	162615	NeuStim	n/a	n/a	n/a	n/a
165.7150000000	n/a	165715	NeuAlcP1000	n/a	n/a	n/a	n/a
170.7020000000	n/a	170702	NeuAlcP1000	n/a	n/a	n/a	n/a
180.8650000000	n/a	180865	NegStim	n/a	n/a	n/a	n/a
183.8980000000	n/a	183898	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
200.0310000000	n/a	200031	NeuStim	n/a	n/a	n/a	n/a
203.1310000000	n/a	203131	NeuNonAlcP1000	n/a	n/a	n/a	n/a
208.1180000000	n/a	208118	NeuNonAlcP1000	n/a	n/a	n/a	n/a
216.6810000000	n/a	216681	NegStim	n/a	n/a	n/a	n/a
219.7810000000	n/a	219781	NegNonAlcP3000	n/a	n/a	n/a	n/a
222.7680000000	n/a	222768	NegNonAlcP3000	n/a	n/a	n/a	n/a
235.0980000000	n/a	235098	PosStim	n/a	n/a	n/a	n/a
238.1980000000	n/a	238198	PosNonAlcP3000	n/a	n/a	n/a	n/a
241.1850000000	n/a	241185	PosNonAlcP3000	n/a	n/a	n/a	n/a
254.9310000000	n/a	254931	NeuStim	n/a	n/a	n/a	n/a
258.0310000000	n/a	258031	NeuAlcP1000	n/a	n/a	n/a	n/a
263.0180000000	n/a	263018	NeuAlcP1000	n/a	n/a	n/a	n/a
274.2650000000	n/a	274265	NegStim	n/a	n/a	n/a	n/a
277.2980000000	n/a	277298	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
293.9980000000	n/a	293998	PosStim	n/a	n/a	n/a	n/a
