onset	duration	sample	trial_type	response_time	stim_file	value	correct
6.9450000000	n/a	6945	ignore	n/a	n/a	n/a	n/a
10.0450000000	n/a	10045	ignore	n/a	n/a	n/a	n/a
13.0580000000	n/a	13058	ignore	n/a	n/a	n/a	n/a
30.5950000000	n/a	30595	ignore	n/a	n/a	n/a	n/a
33.6950000000	n/a	33695	ignore	n/a	n/a	n/a	n/a
36.6820000000	n/a	36682	ignore	n/a	n/a	n/a	n/a
52.9780000000	n/a	52978	PosStim	n/a	n/a	n/a	n/a
56.0110000000	n/a	56011	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
69.1610000000	n/a	69161	NegStim	n/a	n/a	n/a	n/a
72.1950000000	n/a	72195	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
88.0950000000	n/a	88095	NeuStim	n/a	n/a	n/a	n/a
91.1950000000	n/a	91195	NeuNonAlcP2000	n/a	n/a	n/a	n/a
95.1820000000	n/a	95182	NeuNonAlcP2000	n/a	n/a	n/a	n/a
106.0950000000	n/a	106095	NegStim	n/a	n/a	n/a	n/a
109.1950000000	n/a	109195	NegAlcP2000	n/a	n/a	n/a	n/a
113.1820000000	n/a	113182	NegAlcP2000	n/a	n/a	n/a	n/a
126.0780000000	n/a	126078	NeuStim	n/a	n/a	n/a	n/a
129.1110000000	n/a	129111	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
143.5110000000	n/a	143511	PosStim	n/a	n/a	n/a	n/a
146.6110000000	n/a	146611	PosAlcP1000	n/a	n/a	n/a	n/a
151.5980000000	n/a	151598	PosAlcP1000	n/a	n/a	n/a	n/a
163.2440000000	n/a	163244	NeuStim	n/a	n/a	n/a	n/a
166.3440000000	n/a	166344	NeuAlcP2000	n/a	n/a	n/a	n/a
170.3310000000	n/a	170331	NeuAlcP2000	n/a	n/a	n/a	n/a
181.8440000000	n/a	181844	NegStim	n/a	n/a	n/a	n/a
184.9440000000	n/a	184944	NegAlcP3000	n/a	n/a	n/a	n/a
187.9310000000	n/a	187931	NegAlcP3000	n/a	n/a	n/a	n/a
199.2610000000	n/a	199261	PosStim	n/a	n/a	n/a	n/a
202.2940000000	n/a	202294	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
216.1610000000	n/a	216161	NeuStim	n/a	n/a	n/a	n/a
219.2610000000	n/a	219261	NeuAlcP1000	n/a	n/a	n/a	n/a
224.2480000000	n/a	224248	NeuAlcP1000	n/a	n/a	n/a	n/a
233.7610000000	n/a	233761	NegStim	n/a	n/a	n/a	n/a
236.8610000000	n/a	236861	NegNonAlcP3000	n/a	n/a	n/a	n/a
239.8480000000	n/a	239848	NegNonAlcP3000	n/a	n/a	n/a	n/a
251.3280000000	n/a	251328	PosStim	n/a	n/a	n/a	n/a
254.4280000000	n/a	254428	PosAlcP2000	n/a	n/a	n/a	n/a
258.4150000000	n/a	258415	PosAlcP2000	n/a	n/a	n/a	n/a
270.3780000000	n/a	270378	NegStim	n/a	n/a	n/a	n/a
273.4110000000	n/a	273411	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
290.3610000000	n/a	290361	PosStim	n/a	n/a	n/a	n/a
293.3940000000	n/a	293394	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
307.8940000000	n/a	307894	NeuStim	n/a	n/a	n/a	n/a
310.9940000000	n/a	310994	NeuNonAlcP3000	n/a	n/a	n/a	n/a
313.9810000000	n/a	313981	NeuNonAlcP3000	n/a	n/a	n/a	n/a
325.9780000000	n/a	325978	NegStim	n/a	n/a	n/a	n/a
329.0780000000	n/a	329078	NegAlcP1000	n/a	n/a	n/a	n/a
334.0650000000	n/a	334065	NegAlcP1000	n/a	n/a	n/a	n/a
344.5440000000	n/a	344544	NeuStim	n/a	n/a	n/a	n/a
