onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.4010000000	n/a	9401	ignore	n/a	n/a	n/a	n/a
12.5010000000	n/a	12501	ignore	n/a	n/a	n/a	n/a
15.5180000000	n/a	15518	ignore	n/a	n/a	n/a	n/a
31.1670000000	n/a	31167	ignore	n/a	n/a	n/a	n/a
34.2670000000	n/a	34267	ignore	n/a	n/a	n/a	n/a
37.2540000000	n/a	37254	ignore	n/a	n/a	n/a	n/a
54.1170000000	n/a	54117	PosStim	n/a	n/a	n/a	n/a
57.1510000000	n/a	57151	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
73.1340000000	n/a	73134	NegStim	n/a	n/a	n/a	n/a
76.1670000000	n/a	76167	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
89.9510000000	n/a	89951	NeuStim	n/a	n/a	n/a	n/a
93.0500000000	n/a	93050	NeuNonAlcP2000	n/a	n/a	n/a	n/a
97.0380000000	n/a	97038	NeuNonAlcP2000	n/a	n/a	n/a	n/a
106.1170000000	n/a	106117	NegStim	n/a	n/a	n/a	n/a
109.2170000000	n/a	109217	NegAlcP2000	n/a	n/a	n/a	n/a
113.2040000000	n/a	113204	NegAlcP2000	n/a	n/a	n/a	n/a
123.1500000000	n/a	123150	NeuStim	n/a	n/a	n/a	n/a
126.1840000000	n/a	126184	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
141.6840000000	n/a	141684	PosStim	n/a	n/a	n/a	n/a
144.7840000000	n/a	144784	PosAlcP1000	n/a	n/a	n/a	n/a
149.7710000000	n/a	149771	PosAlcP1000	n/a	n/a	n/a	n/a
160.4000000000	n/a	160400	NeuStim	n/a	n/a	n/a	n/a
163.5000000000	n/a	163500	NeuAlcP2000	n/a	n/a	n/a	n/a
167.4870000000	n/a	167487	NeuAlcP2000	n/a	n/a	n/a	n/a
177.8670000000	n/a	177867	NegStim	n/a	n/a	n/a	n/a
180.9670000000	n/a	180967	NegAlcP3000	n/a	n/a	n/a	n/a
183.9540000000	n/a	183954	NegAlcP3000	n/a	n/a	n/a	n/a
195.1000000000	n/a	195100	PosStim	n/a	n/a	n/a	n/a
198.1340000000	n/a	198134	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
211.3170000000	n/a	211317	NeuStim	n/a	n/a	n/a	n/a
214.4170000000	n/a	214417	NeuAlcP1000	n/a	n/a	n/a	n/a
219.4040000000	n/a	219404	NeuAlcP1000	n/a	n/a	n/a	n/a
230.2170000000	n/a	230217	NegStim	n/a	n/a	n/a	n/a
