onset	duration	sample	trial_type	response_time	stim_file	value	correct
24.3990000000	n/a	24399	ignore	6888	n/a	n/a	1
32.3660000000	n/a	32366	ignore	1000	n/a	n/a	1
34.3660000000	n/a	34366	ignore	1700	n/a	n/a	1
36.0660000000	n/a	36066	ignore	2867	n/a	n/a	1
39.9990000000	n/a	39999	ignore	1000	n/a	n/a	1
41.9990000000	n/a	41999	ignore	1700	n/a	n/a	1
43.6990000000	n/a	43699	ignore	2211	n/a	n/a	1
46.9820000000	n/a	46982	ignore	1000	n/a	n/a	1
48.9820000000	n/a	48982	ignore	1700	n/a	n/a	1
50.6820000000	n/a	50682	ignore	1440	n/a	n/a	1
53.1990000000	n/a	53199	ignore	1000	n/a	n/a	1
55.1990000000	n/a	55199	ignore	1700	n/a	n/a	1
56.8990000000	n/a	56899	ignore	1328	n/a	n/a	1
59.2990000000	n/a	59299	ignore	1000	n/a	n/a	1
61.2990000000	n/a	61299	ignore	1700	n/a	n/a	1
62.9990000000	n/a	62999	ignore	1267	n/a	n/a	1
65.3320000000	n/a	65332	ignore	1000	n/a	n/a	1
67.3320000000	n/a	67332	STATUS	1700	n/a	n/a	1
69.0320000000	n/a	69032	ignore	1014	n/a	n/a	1
71.1150000000	n/a	71115	ignore	1000	n/a	n/a	1
73.1160000000	n/a	73116	STATUS	1700	n/a	n/a	1
74.8150000000	n/a	74815	ignore	1410	n/a	n/a	1
77.2990000000	n/a	77299	ignore	1000	n/a	n/a	1
79.2990000000	n/a	79299	STATUS	1700	n/a	n/a	1
80.9990000000	n/a	80999	ignore	5441	n/a	n/a	1
86.5160000000	n/a	86516	ignore 	2000	n/a	n/a	1
94.0820000000	n/a	94082	ignore	1000	n/a	n/a	1
96.0820000000	n/a	96082	STATUS	1700	n/a	n/a	1
97.7820000000	n/a	97782	ignore	1462	n/a	n/a	1
100.3150000000	n/a	100315	ignore	1000	n/a	n/a	1
102.3160000000	n/a	102316	STATUS	1700	n/a	n/a	1
104.0150000000	n/a	104015	ignore	564	n/a	n/a	0
105.6490000000	n/a	105649	ignore	1000	n/a	n/a	1
107.6490000000	n/a	107649	STATUS	1700	n/a	n/a	1
109.3490000000	n/a	109349	ignore	1178	n/a	n/a	1
111.5990000000	n/a	111599	ignore	1000	n/a	n/a	1
113.5990000000	n/a	113599	ignore	1700	n/a	n/a	1
115.2990000000	n/a	115299	ignore	1042	n/a	n/a	1
117.4150000000	n/a	117415	ignore	1000	n/a	n/a	1
119.4150000000	n/a	119415	ignore	1700	n/a	n/a	1
121.1150000000	n/a	121115	ignore	676	n/a	n/a	1
