onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.4550000000	n/a	9455	ignore	n/a	n/a	n/a	n/a
12.5550000000	n/a	12555	ignore	n/a	n/a	n/a	n/a
15.5600000000	n/a	15560	ignore	n/a	n/a	n/a	n/a
32.5720000000	n/a	32572	ignore	n/a	n/a	n/a	n/a
35.6720000000	n/a	35672	ignore	n/a	n/a	n/a	n/a
38.6590000000	n/a	38659	ignore	n/a	n/a	n/a	n/a
54.8720000000	n/a	54872	NeuStim	n/a	n/a	n/a	n/a
57.9720000000	n/a	57972	NeuNonAlcP1000	n/a	n/a	n/a	n/a
62.9590000000	n/a	62959	NeuNonAlcP1000	n/a	n/a	n/a	n/a
71.0890000000	n/a	71089	PosStim	n/a	n/a	n/a	n/a
74.1220000000	n/a	74122	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
87.9720000000	n/a	87972	NeuStim	n/a	n/a	n/a	n/a
91.0720000000	n/a	91072	NeuAlcP2000	n/a	n/a	n/a	n/a
95.0590000000	n/a	95059	NeuAlcP2000	n/a	n/a	n/a	n/a
104.8050000000	n/a	104805	NegStim	n/a	n/a	n/a	n/a
107.9050000000	n/a	107905	NegNonAlcP2000	n/a	n/a	n/a	n/a
111.8920000000	n/a	111892	NegNonAlcP2000	n/a	n/a	n/a	n/a
124.6220000000	n/a	124622	NeuStim	n/a	n/a	n/a	n/a
127.6550000000	n/a	127655	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
142.8550000000	n/a	142855	PosStim	n/a	n/a	n/a	n/a
145.9550000000	n/a	145955	PosNonAlcP1000	n/a	n/a	n/a	n/a
150.9420000000	n/a	150942	PosNonAlcP1000	n/a	n/a	n/a	n/a
159.6880000000	n/a	159688	NeuStim	n/a	n/a	n/a	n/a
162.7880000000	n/a	162788	NeuAlcP1000	n/a	n/a	n/a	n/a
167.7760000000	n/a	167776	NeuAlcP1000	n/a	n/a	n/a	n/a
179.5550000000	n/a	179555	NegStim	n/a	n/a	n/a	n/a
182.5880000000	n/a	182588	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
198.2550000000	n/a	198255	NeuStim	n/a	n/a	n/a	n/a
