onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.2150000000	n/a	9215	ignore	n/a	n/a	n/a	n/a
12.3150000000	n/a	12315	ignore	n/a	n/a	n/a	n/a
15.3280000000	n/a	15328	ignore	n/a	n/a	n/a	n/a
33.2980000000	n/a	33298	ignore	n/a	n/a	n/a	n/a
36.3980000000	n/a	36398	ignore	n/a	n/a	n/a	n/a
39.3850000000	n/a	39385	ignore	n/a	n/a	n/a	n/a
55.8820000000	n/a	55882	NeuStim	n/a	n/a	n/a	n/a
58.9810000000	n/a	58981	NeuNonAlcP1000	n/a	n/a	n/a	n/a
63.9690000000	n/a	63969	NeuNonAlcP1000	n/a	n/a	n/a	n/a
73.4650000000	n/a	73465	PosStim	n/a	n/a	n/a	n/a
76.4980000000	n/a	76498	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
91.7480000000	n/a	91748	NeuStim	n/a	n/a	n/a	n/a
94.8480000000	n/a	94848	NeuAlcP2000	n/a	n/a	n/a	n/a
98.8350000000	n/a	98835	NeuAlcP2000	n/a	n/a	n/a	n/a
110.7150000000	n/a	110715	NegStim	n/a	n/a	n/a	n/a
113.8150000000	n/a	113815	NegNonAlcP2000	n/a	n/a	n/a	n/a
117.8020000000	n/a	117802	NegNonAlcP2000	n/a	n/a	n/a	n/a
130.3150000000	n/a	130315	NeuStim	n/a	n/a	n/a	n/a
133.3480000000	n/a	133348	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
148.6980000000	n/a	148698	PosStim	n/a	n/a	n/a	n/a
151.7980000000	n/a	151798	PosNonAlcP1000	n/a	n/a	n/a	n/a
156.7850000000	n/a	156785	PosNonAlcP1000	n/a	n/a	n/a	n/a
165.8980000000	n/a	165898	NeuStim	n/a	n/a	n/a	n/a
168.9980000000	n/a	168998	NeuAlcP1000	n/a	n/a	n/a	n/a
173.9850000000	n/a	173985	NeuAlcP1000	n/a	n/a	n/a	n/a
182.2150000000	n/a	182215	NegStim	n/a	n/a	n/a	n/a
185.2480000000	n/a	185248	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
201.3650000000	n/a	201365	NeuStim	n/a	n/a	n/a	n/a
204.4650000000	n/a	204465	NeuNonAlcP1000	n/a	n/a	n/a	n/a
209.4520000000	n/a	209452	NeuNonAlcP1000	n/a	n/a	n/a	n/a
218.2810000000	n/a	218281	NegStim	n/a	n/a	n/a	n/a
221.3810000000	n/a	221381	NegNonAlcP3000	n/a	n/a	n/a	n/a
224.3680000000	n/a	224368	NegNonAlcP3000	n/a	n/a	n/a	n/a
235.1150000000	n/a	235115	PosStim	n/a	n/a	n/a	n/a
238.2150000000	n/a	238215	PosNonAlcP3000	n/a	n/a	n/a	n/a
241.2020000000	n/a	241202	PosNonAlcP3000	n/a	n/a	n/a	n/a
254.3480000000	n/a	254348	NeuStim	n/a	n/a	n/a	n/a
257.4480000000	n/a	257448	NeuAlcP1000	n/a	n/a	n/a	n/a
262.4350000000	n/a	262435	NeuAlcP1000	n/a	n/a	n/a	n/a
270.6480000000	n/a	270648	NegStim	n/a	n/a	n/a	n/a
273.6810000000	n/a	273681	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
288.6310000000	n/a	288631	PosStim	n/a	n/a	n/a	n/a
291.6640000000	n/a	291664	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
306.9640000000	n/a	306964	NegStim	n/a	n/a	n/a	n/a
310.0640000000	n/a	310064	NegAlcP3000	n/a	n/a	n/a	n/a
313.0510000000	n/a	313051	NegAlcP3000	n/a	n/a	n/a	n/a
323.9140000000	n/a	323914	NeuStim	n/a	n/a	n/a	n/a
326.9480000000	n/a	326948	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
343.1480000000	n/a	343148	PosStim	n/a	n/a	n/a	n/a
346.2480000000	n/a	346248	PosNonAlcP1000	n/a	n/a	n/a	n/a
351.2350000000	n/a	351235	PosNonAlcP1000	n/a	n/a	n/a	n/a
361.3140000000	n/a	361314	NegStim	n/a	n/a	n/a	n/a
364.4140000000	n/a	364414	NegAlcP3000	n/a	n/a	n/a	n/a
367.4010000000	n/a	367401	NegAlcP3000	n/a	n/a	n/a	n/a
379.3310000000	n/a	379331	NegStim	n/a	n/a	n/a	n/a
382.3640000000	n/a	382364	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
395.8640000000	n/a	395864	PosStim	n/a	n/a	n/a	n/a
398.9640000000	n/a	398964	PosAlcP1000	n/a	n/a	n/a	n/a
403.9510000000	n/a	403951	PosAlcP1000	n/a	n/a	n/a	n/a
414.3640000000	n/a	414364	NeuStim	n/a	n/a	n/a	n/a
417.3980000000	n/a	417398	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
431.5140000000	n/a	431514	NegStim	n/a	n/a	n/a	n/a
434.6140000000	n/a	434614	NegNonAlcP1000	n/a	n/a	n/a	n/a
439.6010000000	n/a	439601	NegNonAlcP1000	n/a	n/a	n/a	n/a
448.8140000000	n/a	448814	PosStim	n/a	n/a	n/a	n/a
451.9140000000	n/a	451914	PosAlcP3000	n/a	n/a	n/a	n/a
454.9010000000	n/a	454901	PosAlcP3000	n/a	n/a	n/a	n/a
466.7470000000	n/a	466747	NeuStim	n/a	n/a	n/a	n/a
469.8470000000	n/a	469847	NeuAlcP3000	n/a	n/a	n/a	n/a
472.8340000000	n/a	472834	NeuAlcP3000	n/a	n/a	n/a	n/a
485.4140000000	n/a	485414	NegStim	n/a	n/a	n/a	n/a
488.4470000000	n/a	488447	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
504.4640000000	n/a	504464	PosStim	n/a	n/a	n/a	n/a
507.5640000000	n/a	507564	PosNonAlcP2000	n/a	n/a	n/a	n/a
511.5510000000	n/a	511551	PosNonAlcP2000	n/a	n/a	n/a	n/a
524.3970000000	n/a	524397	NegStim	n/a	n/a	n/a	n/a
527.4970000000	n/a	527497	NegAlcP2000	n/a	n/a	n/a	n/a
531.4840000000	n/a	531484	NegAlcP2000	n/a	n/a	n/a	n/a
542.8310000000	n/a	542831	PosStim	n/a	n/a	n/a	n/a
545.9310000000	n/a	545931	PosAlcP2000	n/a	n/a	n/a	n/a
549.9180000000	n/a	549918	PosAlcP2000	n/a	n/a	n/a	n/a
562.6810000000	n/a	562681	NeuStim	n/a	n/a	n/a	n/a
565.7140000000	n/a	565714	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
