onset	duration	sample	trial_type	response_time	stim_file	value	correct
6.4850000000	n/a	6485	ignore	n/a	n/a	n/a	n/a
9.5850000000	n/a	9585	ignore	n/a	n/a	n/a	n/a
12.6000000000	n/a	12600	ignore	n/a	n/a	n/a	n/a
29.3850000000	n/a	29385	ignore	n/a	n/a	n/a	n/a
32.4850000000	n/a	32485	ignore	n/a	n/a	n/a	n/a
35.4720000000	n/a	35472	ignore	n/a	n/a	n/a	n/a
50.7180000000	n/a	50718	NeuStim	n/a	n/a	n/a	n/a
53.8180000000	n/a	53818	NeuNonAlcP1000	n/a	n/a	n/a	n/a
58.8050000000	n/a	58805	NeuNonAlcP1000	n/a	n/a	n/a	n/a
69.2010000000	n/a	69201	PosStim	n/a	n/a	n/a	n/a
72.2350000000	n/a	72235	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
89.1850000000	n/a	89185	NeuStim	n/a	n/a	n/a	n/a
92.2850000000	n/a	92285	NeuAlcP2000	n/a	n/a	n/a	n/a
96.2720000000	n/a	96272	NeuAlcP2000	n/a	n/a	n/a	n/a
107.8510000000	n/a	107851	NegStim	n/a	n/a	n/a	n/a
110.9510000000	n/a	110951	NegNonAlcP2000	n/a	n/a	n/a	n/a
114.9380000000	n/a	114938	NegNonAlcP2000	n/a	n/a	n/a	n/a
125.7010000000	n/a	125701	NeuStim	n/a	n/a	n/a	n/a
128.7350000000	n/a	128735	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
143.8680000000	n/a	143868	PosStim	n/a	n/a	n/a	n/a
146.9680000000	n/a	146968	PosNonAlcP1000	n/a	n/a	n/a	n/a
151.9550000000	n/a	151955	PosNonAlcP1000	n/a	n/a	n/a	n/a
160.3510000000	n/a	160351	NeuStim	n/a	n/a	n/a	n/a
163.4510000000	n/a	163451	NeuAlcP1000	n/a	n/a	n/a	n/a
168.4380000000	n/a	168438	NeuAlcP1000	n/a	n/a	n/a	n/a
178.0180000000	n/a	178018	NegStim	n/a	n/a	n/a	n/a
181.0510000000	n/a	181051	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
195.8010000000	n/a	195801	NeuStim	n/a	n/a	n/a	n/a
198.9010000000	n/a	198901	NeuNonAlcP1000	n/a	n/a	n/a	n/a
203.8880000000	n/a	203888	NeuNonAlcP1000	n/a	n/a	n/a	n/a
213.6680000000	n/a	213668	NegStim	n/a	n/a	n/a	n/a
216.7680000000	n/a	216768	NegNonAlcP3000	n/a	n/a	n/a	n/a
219.7550000000	n/a	219755	NegNonAlcP3000	n/a	n/a	n/a	n/a
232.0510000000	n/a	232051	PosStim	n/a	n/a	n/a	n/a
235.1510000000	n/a	235151	PosNonAlcP3000	n/a	n/a	n/a	n/a
238.1380000000	n/a	238138	PosNonAlcP3000	n/a	n/a	n/a	n/a
250.2680000000	n/a	250268	NeuStim	n/a	n/a	n/a	n/a
253.3680000000	n/a	253368	NeuAlcP1000	n/a	n/a	n/a	n/a
258.3550000000	n/a	258355	NeuAlcP1000	n/a	n/a	n/a	n/a
270.0840000000	n/a	270084	NegStim	n/a	n/a	n/a	n/a
273.1180000000	n/a	273118	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
288.0680000000	n/a	288068	PosStim	n/a	n/a	n/a	n/a
291.1010000000	n/a	291101	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
305.1510000000	n/a	305151	NegStim	n/a	n/a	n/a	n/a
308.2510000000	n/a	308251	NegAlcP3000	n/a	n/a	n/a	n/a
311.2380000000	n/a	311238	NegAlcP3000	n/a	n/a	n/a	n/a
324.6180000000	n/a	324618	NeuStim	n/a	n/a	n/a	n/a
327.6510000000	n/a	327651	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
340.8340000000	n/a	340834	PosStim	n/a	n/a	n/a	n/a
343.9340000000	n/a	343934	PosNonAlcP1000	n/a	n/a	n/a	n/a
348.9210000000	n/a	348921	PosNonAlcP1000	n/a	n/a	n/a	n/a
357.7840000000	n/a	357784	NegStim	n/a	n/a	n/a	n/a
360.8840000000	n/a	360884	NegAlcP3000	n/a	n/a	n/a	n/a
363.8710000000	n/a	363871	NegAlcP3000	n/a	n/a	n/a	n/a
374.3510000000	n/a	374351	NegStim	n/a	n/a	n/a	n/a
377.3840000000	n/a	377384	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
392.2340000000	n/a	392234	PosStim	n/a	n/a	n/a	n/a
395.3340000000	n/a	395334	PosAlcP1000	n/a	n/a	n/a	n/a
400.3210000000	n/a	400321	PosAlcP1000	n/a	n/a	n/a	n/a
408.6010000000	n/a	408601	NeuStim	n/a	n/a	n/a	n/a
411.6340000000	n/a	411634	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
425.5340000000	n/a	425534	NegStim	n/a	n/a	n/a	n/a
428.6340000000	n/a	428634	NegNonAlcP1000	n/a	n/a	n/a	n/a
433.6210000000	n/a	433621	NegNonAlcP1000	n/a	n/a	n/a	n/a
443.7010000000	n/a	443701	PosStim	n/a	n/a	n/a	n/a
446.8010000000	n/a	446801	PosAlcP3000	n/a	n/a	n/a	n/a
449.7880000000	n/a	449788	PosAlcP3000	n/a	n/a	n/a	n/a
463.2340000000	n/a	463234	NeuStim	n/a	n/a	n/a	n/a
466.3340000000	n/a	466334	NeuAlcP3000	n/a	n/a	n/a	n/a
469.3210000000	n/a	469321	NeuAlcP3000	n/a	n/a	n/a	n/a
480.0010000000	n/a	480001	NegStim	n/a	n/a	n/a	n/a
483.0340000000	n/a	483034	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
499.7510000000	n/a	499751	PosStim	n/a	n/a	n/a	n/a
502.8510000000	n/a	502851	PosNonAlcP2000	n/a	n/a	n/a	n/a
506.8380000000	n/a	506838	PosNonAlcP2000	n/a	n/a	n/a	n/a
519.7840000000	n/a	519784	NegStim	n/a	n/a	n/a	n/a
522.8840000000	n/a	522884	NegAlcP2000	n/a	n/a	n/a	n/a
526.8710000000	n/a	526871	NegAlcP2000	n/a	n/a	n/a	n/a
539.8840000000	n/a	539884	PosStim	n/a	n/a	n/a	n/a
542.9840000000	n/a	542984	PosAlcP2000	n/a	n/a	n/a	n/a
546.9710000000	n/a	546971	PosAlcP2000	n/a	n/a	n/a	n/a
557.3510000000	n/a	557351	NeuStim	n/a	n/a	n/a	n/a
560.3840000000	n/a	560384	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
577.2170000000	n/a	577217	NegStim	n/a	n/a	n/a	n/a
580.3170000000	n/a	580317	NegNonAlcP1000	n/a	n/a	n/a	n/a
585.3040000000	n/a	585304	NegNonAlcP1000	n/a	n/a	n/a	n/a
594.3510000000	n/a	594351	NeuStim	n/a	n/a	n/a	n/a
597.4510000000	n/a	597451	NeuNonAlcP1000	n/a	n/a	n/a	n/a
602.4380000000	n/a	602438	NeuNonAlcP1000	n/a	n/a	n/a	n/a
611.0670000000	n/a	611067	PosStim	n/a	n/a	n/a	n/a
614.1670000000	n/a	614167	PosNonAlcP3000	n/a	n/a	n/a	n/a
617.1540000000	n/a	617154	PosNonAlcP3000	n/a	n/a	n/a	n/a
630.5170000000	n/a	630517	NeuStim	n/a	n/a	n/a	n/a
633.5510000000	n/a	633551	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
650.3170000000	n/a	650317	NegStim	n/a	n/a	n/a	n/a
653.3510000000	n/a	653351	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
669.3010000000	n/a	669301	NeuStim	n/a	n/a	n/a	n/a
672.4010000000	n/a	672401	NeuNonAlcP3000	n/a	n/a	n/a	n/a
675.3880000000	n/a	675388	NeuNonAlcP3000	n/a	n/a	n/a	n/a
688.1840000000	n/a	688184	PosStim	n/a	n/a	n/a	n/a
691.2840000000	n/a	691284	PosAlcP1000	n/a	n/a	n/a	n/a
696.2710000000	n/a	696271	PosAlcP1000	n/a	n/a	n/a	n/a
705.3670000000	n/a	705367	NegStim	n/a	n/a	n/a	n/a
708.4670000000	n/a	708467	NegNonAlcP1000	n/a	n/a	n/a	n/a
713.4540000000	n/a	713454	NegNonAlcP1000	n/a	n/a	n/a	n/a
723.0340000000	n/a	723034	PosStim	n/a	n/a	n/a	n/a
726.0670000000	n/a	726067	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
741.0500000000	n/a	741050	NeuStim	n/a	n/a	n/a	n/a
744.1500000000	n/a	744150	NeuAlcP2000	n/a	n/a	n/a	n/a
748.1370000000	n/a	748137	NeuAlcP2000	n/a	n/a	n/a	n/a
758.1340000000	n/a	758134	PosStim	n/a	n/a	n/a	n/a
761.2340000000	n/a	761234	PosAlcP1000	n/a	n/a	n/a	n/a
766.2210000000	n/a	766221	PosAlcP1000	n/a	n/a	n/a	n/a
777.5170000000	n/a	777517	NegStim	n/a	n/a	n/a	n/a
780.5500000000	n/a	780550	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
793.8500000000	n/a	793850	PosStim	n/a	n/a	n/a	n/a
796.9500000000	n/a	796950	PosNonAlcP2000	n/a	n/a	n/a	n/a
800.9370000000	n/a	800937	PosNonAlcP2000	n/a	n/a	n/a	n/a
812.4170000000	n/a	812417	NegStim	n/a	n/a	n/a	n/a
815.5170000000	n/a	815517	NegNonAlcP3000	n/a	n/a	n/a	n/a
818.5040000000	n/a	818504	NegNonAlcP3000	n/a	n/a	n/a	n/a
831.4670000000	n/a	831467	NeuStim	n/a	n/a	n/a	n/a
834.5670000000	n/a	834567	NeuNonAlcP2000	n/a	n/a	n/a	n/a
838.5540000000	n/a	838554	NeuNonAlcP2000	n/a	n/a	n/a	n/a
850.2670000000	n/a	850267	NegStim	n/a	n/a	n/a	n/a
853.3000000000	n/a	853300	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
870.1840000000	n/a	870184	PosStim	n/a	n/a	n/a	n/a
873.2170000000	n/a	873217	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
886.8500000000	n/a	886850	NeuStim	n/a	n/a	n/a	n/a
889.9500000000	n/a	889950	NeuAlcP3000	n/a	n/a	n/a	n/a
892.9370000000	n/a	892937	NeuAlcP3000	n/a	n/a	n/a	n/a
905.3170000000	n/a	905317	NegStim	n/a	n/a	n/a	n/a
908.4170000000	n/a	908417	NegNonAlcP1000	n/a	n/a	n/a	n/a
913.4040000000	n/a	913404	NegNonAlcP1000	n/a	n/a	n/a	n/a
922.0170000000	n/a	922017	NeuStim	n/a	n/a	n/a	n/a
925.1170000000	n/a	925117	NeuNonAlcP2000	n/a	n/a	n/a	n/a
929.1040000000	n/a	929104	NeuNonAlcP2000	n/a	n/a	n/a	n/a
941.8840000000	n/a	941884	PosStim	n/a	n/a	n/a	n/a
944.9170000000	n/a	944917	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
960.3500000000	n/a	960350	NegStim	n/a	n/a	n/a	n/a
963.4500000000	n/a	963450	NegNonAlcP2000	n/a	n/a	n/a	n/a
967.4370000000	n/a	967437	NegNonAlcP2000	n/a	n/a	n/a	n/a
978.9500000000	n/a	978950	NeuStim	n/a	n/a	n/a	n/a
982.0500000000	n/a	982050	NeuAlcP1000	n/a	n/a	n/a	n/a
987.0370000000	n/a	987037	NeuAlcP1000	n/a	n/a	n/a	n/a
