onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.1170000000	n/a	9117	ignore	n/a	n/a	n/a	n/a
12.2170000000	n/a	12217	ignore	n/a	n/a	n/a	n/a
15.2220000000	n/a	15222	ignore	n/a	n/a	n/a	n/a
32.8500000000	n/a	32850	ignore	n/a	n/a	n/a	n/a
35.9500000000	n/a	35950	ignore	n/a	n/a	n/a	n/a
38.9370000000	n/a	38937	ignore	n/a	n/a	n/a	n/a
55.3670000000	n/a	55367	PosStim	n/a	n/a	n/a	n/a
58.4000000000	n/a	58400	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
73.7330000000	n/a	73733	NegStim	n/a	n/a	n/a	n/a
76.7670000000	n/a	76767	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
92.2830000000	n/a	92283	NeuStim	n/a	n/a	n/a	n/a
95.3830000000	n/a	95383	NeuNonAlcP2000	n/a	n/a	n/a	n/a
99.3700000000	n/a	99370	NeuNonAlcP2000	n/a	n/a	n/a	n/a
109.9160000000	n/a	109916	NegStim	n/a	n/a	n/a	n/a
113.0160000000	n/a	113016	NegAlcP2000	n/a	n/a	n/a	n/a
117.0030000000	n/a	117003	NegAlcP2000	n/a	n/a	n/a	n/a
128.9830000000	n/a	128983	NeuStim	n/a	n/a	n/a	n/a
132.0160000000	n/a	132016	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
147.2160000000	n/a	147216	PosStim	n/a	n/a	n/a	n/a
150.3160000000	n/a	150316	PosAlcP1000	n/a	n/a	n/a	n/a
155.3030000000	n/a	155303	PosAlcP1000	n/a	n/a	n/a	n/a
166.4500000000	n/a	166450	NeuStim	n/a	n/a	n/a	n/a
169.5500000000	n/a	169550	NeuAlcP2000	n/a	n/a	n/a	n/a
173.5370000000	n/a	173537	NeuAlcP2000	n/a	n/a	n/a	n/a
184.7000000000	n/a	184700	NegStim	n/a	n/a	n/a	n/a
187.8000000000	n/a	187800	NegAlcP3000	n/a	n/a	n/a	n/a
190.7870000000	n/a	190787	NegAlcP3000	n/a	n/a	n/a	n/a
201.2830000000	n/a	201283	PosStim	n/a	n/a	n/a	n/a
204.3160000000	n/a	204316	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
220.7160000000	n/a	220716	NeuStim	n/a	n/a	n/a	n/a
223.8160000000	n/a	223816	NeuAlcP1000	n/a	n/a	n/a	n/a
228.8030000000	n/a	228803	NeuAlcP1000	n/a	n/a	n/a	n/a
239.4500000000	n/a	239450	NegStim	n/a	n/a	n/a	n/a
242.5500000000	n/a	242550	NegNonAlcP3000	n/a	n/a	n/a	n/a
