onset	duration	sample	trial_type	response_time	stim_file	value	correct
6.3320000000	n/a	6332	ignore	n/a	n/a	n/a	n/a
9.4320000000	n/a	9432	ignore	n/a	n/a	n/a	n/a
12.4460000000	n/a	12446	ignore	n/a	n/a	n/a	n/a
28.3980000000	n/a	28398	ignore	n/a	n/a	n/a	n/a
31.4980000000	n/a	31498	ignore	n/a	n/a	n/a	n/a
34.4850000000	n/a	34485	ignore	n/a	n/a	n/a	n/a
51.2980000000	n/a	51298	NeuStim	n/a	n/a	n/a	n/a
54.3980000000	n/a	54398	NeuNonAlcP1000	n/a	n/a	n/a	n/a
59.3850000000	n/a	59385	NeuNonAlcP1000	n/a	n/a	n/a	n/a
68.1150000000	n/a	68115	PosStim	n/a	n/a	n/a	n/a
71.1480000000	n/a	71148	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
86.6480000000	n/a	86648	NeuStim	n/a	n/a	n/a	n/a
89.7480000000	n/a	89748	NeuAlcP2000	n/a	n/a	n/a	n/a
93.7350000000	n/a	93735	NeuAlcP2000	n/a	n/a	n/a	n/a
104.7480000000	n/a	104748	NegStim	n/a	n/a	n/a	n/a
107.8480000000	n/a	107848	NegNonAlcP2000	n/a	n/a	n/a	n/a
111.8350000000	n/a	111835	NegNonAlcP2000	n/a	n/a	n/a	n/a
122.0150000000	n/a	122015	NeuStim	n/a	n/a	n/a	n/a
125.0480000000	n/a	125048	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
138.3810000000	n/a	138381	PosStim	n/a	n/a	n/a	n/a
141.4810000000	n/a	141481	PosNonAlcP1000	n/a	n/a	n/a	n/a
146.4690000000	n/a	146469	PosNonAlcP1000	n/a	n/a	n/a	n/a
156.6480000000	n/a	156648	NeuStim	n/a	n/a	n/a	n/a
159.7480000000	n/a	159748	NeuAlcP1000	n/a	n/a	n/a	n/a
164.7350000000	n/a	164735	NeuAlcP1000	n/a	n/a	n/a	n/a
172.9150000000	n/a	172915	NegStim	n/a	n/a	n/a	n/a
175.9480000000	n/a	175948	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
189.8480000000	n/a	189848	NeuStim	n/a	n/a	n/a	n/a
192.9480000000	n/a	192948	NeuNonAlcP1000	n/a	n/a	n/a	n/a
197.9350000000	n/a	197935	NeuNonAlcP1000	n/a	n/a	n/a	n/a
207.0150000000	n/a	207015	NegStim	n/a	n/a	n/a	n/a
210.1150000000	n/a	210115	NegNonAlcP3000	n/a	n/a	n/a	n/a
213.1020000000	n/a	213102	NegNonAlcP3000	n/a	n/a	n/a	n/a
226.6980000000	n/a	226698	PosStim	n/a	n/a	n/a	n/a
229.7980000000	n/a	229798	PosNonAlcP3000	n/a	n/a	n/a	n/a
232.7850000000	n/a	232785	PosNonAlcP3000	n/a	n/a	n/a	n/a
245.3150000000	n/a	245315	NeuStim	n/a	n/a	n/a	n/a
248.4150000000	n/a	248415	NeuAlcP1000	n/a	n/a	n/a	n/a
253.4020000000	n/a	253402	NeuAlcP1000	n/a	n/a	n/a	n/a
263.3150000000	n/a	263315	NegStim	n/a	n/a	n/a	n/a
266.3480000000	n/a	266348	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
281.7310000000	n/a	281731	PosStim	n/a	n/a	n/a	n/a
284.7650000000	n/a	284765	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
299.0980000000	n/a	299098	NegStim	n/a	n/a	n/a	n/a
302.1980000000	n/a	302198	NegAlcP3000	n/a	n/a	n/a	n/a
305.1850000000	n/a	305185	NegAlcP3000	n/a	n/a	n/a	n/a
315.2650000000	n/a	315265	NeuStim	n/a	n/a	n/a	n/a
318.2980000000	n/a	318298	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
332.0650000000	n/a	332065	PosStim	n/a	n/a	n/a	n/a
335.1650000000	n/a	335165	PosNonAlcP1000	n/a	n/a	n/a	n/a
340.1520000000	n/a	340152	PosNonAlcP1000	n/a	n/a	n/a	n/a
351.4150000000	n/a	351415	NegStim	n/a	n/a	n/a	n/a
354.5140000000	n/a	354514	NegAlcP3000	n/a	n/a	n/a	n/a
357.5010000000	n/a	357501	NegAlcP3000	n/a	n/a	n/a	n/a
369.6640000000	n/a	369664	NegStim	n/a	n/a	n/a	n/a
372.6980000000	n/a	372698	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
385.9140000000	n/a	385914	PosStim	n/a	n/a	n/a	n/a
389.0140000000	n/a	389014	PosAlcP1000	n/a	n/a	n/a	n/a
394.0020000000	n/a	394002	PosAlcP1000	n/a	n/a	n/a	n/a
404.7140000000	n/a	404714	NeuStim	n/a	n/a	n/a	n/a
407.7480000000	n/a	407748	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
424.7310000000	n/a	424731	NegStim	n/a	n/a	n/a	n/a
427.8310000000	n/a	427831	NegNonAlcP1000	n/a	n/a	n/a	n/a
432.8180000000	n/a	432818	NegNonAlcP1000	n/a	n/a	n/a	n/a
444.1140000000	n/a	444114	PosStim	n/a	n/a	n/a	n/a
447.2140000000	n/a	447214	PosAlcP3000	n/a	n/a	n/a	n/a
450.2010000000	n/a	450201	PosAlcP3000	n/a	n/a	n/a	n/a
462.1980000000	n/a	462198	NeuStim	n/a	n/a	n/a	n/a
465.2980000000	n/a	465298	NeuAlcP3000	n/a	n/a	n/a	n/a
468.2850000000	n/a	468285	NeuAlcP3000	n/a	n/a	n/a	n/a
478.5140000000	n/a	478514	NegStim	n/a	n/a	n/a	n/a
481.5480000000	n/a	481548	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
494.9310000000	n/a	494931	PosStim	n/a	n/a	n/a	n/a
498.0310000000	n/a	498031	PosNonAlcP2000	n/a	n/a	n/a	n/a
502.0180000000	n/a	502018	PosNonAlcP2000	n/a	n/a	n/a	n/a
514.2810000000	n/a	514281	NegStim	n/a	n/a	n/a	n/a
517.3810000000	n/a	517381	NegAlcP2000	n/a	n/a	n/a	n/a
521.3680000000	n/a	521368	NegAlcP2000	n/a	n/a	n/a	n/a
532.7480000000	n/a	532748	PosStim	n/a	n/a	n/a	n/a
535.8480000000	n/a	535848	PosAlcP2000	n/a	n/a	n/a	n/a
539.8350000000	n/a	539835	PosAlcP2000	n/a	n/a	n/a	n/a
551.2810000000	n/a	551281	NeuStim	n/a	n/a	n/a	n/a
554.3140000000	n/a	554314	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
569.8810000000	n/a	569881	NegStim	n/a	n/a	n/a	n/a
572.9810000000	n/a	572981	NegNonAlcP1000	n/a	n/a	n/a	n/a
577.9680000000	n/a	577968	NegNonAlcP1000	n/a	n/a	n/a	n/a
