onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.2050000000	n/a	9205	ignore	n/a	n/a	n/a	n/a
12.3050000000	n/a	12305	ignore	n/a	n/a	n/a	n/a
15.3080000000	n/a	15308	ignore	n/a	n/a	n/a	n/a
31.1220000000	n/a	31122	ignore	n/a	n/a	n/a	n/a
34.2220000000	n/a	34222	ignore	n/a	n/a	n/a	n/a
37.2090000000	n/a	37209	ignore	n/a	n/a	n/a	n/a
53.4050000000	n/a	53405	NeuStim	n/a	n/a	n/a	n/a
56.5050000000	n/a	56505	NeuNonAlcP1000	n/a	n/a	n/a	n/a
61.4920000000	n/a	61492	NeuNonAlcP1000	n/a	n/a	n/a	n/a
70.2550000000	n/a	70255	PosStim	n/a	n/a	n/a	n/a
73.2880000000	n/a	73288	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
89.4220000000	n/a	89422	NeuStim	n/a	n/a	n/a	n/a
92.5220000000	n/a	92522	NeuAlcP2000	n/a	n/a	n/a	n/a
96.5090000000	n/a	96509	NeuAlcP2000	n/a	n/a	n/a	n/a
109.1050000000	n/a	109105	NegStim	n/a	n/a	n/a	n/a
112.2050000000	n/a	112205	NegNonAlcP2000	n/a	n/a	n/a	n/a
116.1920000000	n/a	116192	NegNonAlcP2000	n/a	n/a	n/a	n/a
128.1050000000	n/a	128105	NeuStim	n/a	n/a	n/a	n/a
131.1380000000	n/a	131138	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
146.7050000000	n/a	146705	PosStim	n/a	n/a	n/a	n/a
149.8050000000	n/a	149805	PosNonAlcP1000	n/a	n/a	n/a	n/a
154.7920000000	n/a	154792	PosNonAlcP1000	n/a	n/a	n/a	n/a
165.1880000000	n/a	165188	NeuStim	n/a	n/a	n/a	n/a
168.2880000000	n/a	168288	NeuAlcP1000	n/a	n/a	n/a	n/a
173.2750000000	n/a	173275	NeuAlcP1000	n/a	n/a	n/a	n/a
182.3880000000	n/a	182388	NegStim	n/a	n/a	n/a	n/a
185.4210000000	n/a	185421	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
198.8550000000	n/a	198855	NeuStim	n/a	n/a	n/a	n/a
201.9550000000	n/a	201955	NeuNonAlcP1000	n/a	n/a	n/a	n/a
206.9420000000	n/a	206942	NeuNonAlcP1000	n/a	n/a	n/a	n/a
215.1880000000	n/a	215188	NegStim	n/a	n/a	n/a	n/a
218.2880000000	n/a	218288	NegNonAlcP3000	n/a	n/a	n/a	n/a
221.2750000000	n/a	221275	NegNonAlcP3000	n/a	n/a	n/a	n/a
231.5710000000	n/a	231571	PosStim	n/a	n/a	n/a	n/a
234.6710000000	n/a	234671	PosNonAlcP3000	n/a	n/a	n/a	n/a
237.6580000000	n/a	237658	PosNonAlcP3000	n/a	n/a	n/a	n/a
249.0050000000	n/a	249005	NeuStim	n/a	n/a	n/a	n/a
252.1050000000	n/a	252105	NeuAlcP1000	n/a	n/a	n/a	n/a
257.0920000000	n/a	257092	NeuAlcP1000	n/a	n/a	n/a	n/a
267.4710000000	n/a	267471	NegStim	n/a	n/a	n/a	n/a
270.5050000000	n/a	270505	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
285.1050000000	n/a	285105	PosStim	n/a	n/a	n/a	n/a
288.1380000000	n/a	288138	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
303.3380000000	n/a	303338	NegStim	n/a	n/a	n/a	n/a
306.4380000000	n/a	306438	NegAlcP3000	n/a	n/a	n/a	n/a
309.4250000000	n/a	309425	NegAlcP3000	n/a	n/a	n/a	n/a
322.4880000000	n/a	322488	NeuStim	n/a	n/a	n/a	n/a
325.5210000000	n/a	325521	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
340.2210000000	n/a	340221	PosStim	n/a	n/a	n/a	n/a
343.3210000000	n/a	343321	PosNonAlcP1000	n/a	n/a	n/a	n/a
348.3080000000	n/a	348308	PosNonAlcP1000	n/a	n/a	n/a	n/a
357.3040000000	n/a	357304	NegStim	n/a	n/a	n/a	n/a
360.4040000000	n/a	360404	NegAlcP3000	n/a	n/a	n/a	n/a
363.3910000000	n/a	363391	NegAlcP3000	n/a	n/a	n/a	n/a
376.3210000000	n/a	376321	NegStim	n/a	n/a	n/a	n/a
379.3540000000	n/a	379354	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
395.5380000000	n/a	395538	PosStim	n/a	n/a	n/a	n/a
398.6380000000	n/a	398638	PosAlcP1000	n/a	n/a	n/a	n/a
403.6250000000	n/a	403625	PosAlcP1000	n/a	n/a	n/a	n/a
413.6710000000	n/a	413671	NeuStim	n/a	n/a	n/a	n/a
416.7040000000	n/a	416704	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
432.5210000000	n/a	432521	NegStim	n/a	n/a	n/a	n/a
435.6210000000	n/a	435621	NegNonAlcP1000	n/a	n/a	n/a	n/a
440.6080000000	n/a	440608	NegNonAlcP1000	n/a	n/a	n/a	n/a
450.2210000000	n/a	450221	PosStim	n/a	n/a	n/a	n/a
453.3210000000	n/a	453321	PosAlcP3000	n/a	n/a	n/a	n/a
456.3080000000	n/a	456308	PosAlcP3000	n/a	n/a	n/a	n/a
466.7040000000	n/a	466704	NeuStim	n/a	n/a	n/a	n/a
469.8040000000	n/a	469804	NeuAlcP3000	n/a	n/a	n/a	n/a
472.7910000000	n/a	472791	NeuAlcP3000	n/a	n/a	n/a	n/a
483.8210000000	n/a	483821	NegStim	n/a	n/a	n/a	n/a
486.8540000000	n/a	486854	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
503.2380000000	n/a	503238	PosStim	n/a	n/a	n/a	n/a
506.3380000000	n/a	506338	PosNonAlcP2000	n/a	n/a	n/a	n/a
510.3250000000	n/a	510325	PosNonAlcP2000	n/a	n/a	n/a	n/a
523.0210000000	n/a	523021	NegStim	n/a	n/a	n/a	n/a
526.1210000000	n/a	526121	NegAlcP2000	n/a	n/a	n/a	n/a
530.1080000000	n/a	530108	NegAlcP2000	n/a	n/a	n/a	n/a
540.9710000000	n/a	540971	PosStim	n/a	n/a	n/a	n/a
544.0710000000	n/a	544071	PosAlcP2000	n/a	n/a	n/a	n/a
548.0580000000	n/a	548058	PosAlcP2000	n/a	n/a	n/a	n/a
