onset	duration	sample	trial_type	response_time	stim_file	value	correct
14.8040000000	n/a	14804	ignore	n/a	n/a	n/a	n/a
17.9040000000	n/a	17904	ignore	n/a	n/a	n/a	n/a
20.9080000000	n/a	20908	ignore	n/a	n/a	n/a	n/a
36.4540000000	n/a	36454	ignore	n/a	n/a	n/a	n/a
39.5540000000	n/a	39554	ignore	n/a	n/a	n/a	n/a
42.5410000000	n/a	42541	ignore	n/a	n/a	n/a	n/a
58.8040000000	n/a	58804	PosStim	n/a	n/a	n/a	n/a
61.8370000000	n/a	61837	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
75.9370000000	n/a	75937	NegStim	n/a	n/a	n/a	n/a
78.9710000000	n/a	78971	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
93.0870000000	n/a	93087	NeuStim	n/a	n/a	n/a	n/a
96.1870000000	n/a	96187	NeuNonAlcP2000	n/a	n/a	n/a	n/a
100.1740000000	n/a	100174	NeuNonAlcP2000	n/a	n/a	n/a	n/a
112.4710000000	n/a	112471	NegStim	n/a	n/a	n/a	n/a
115.5710000000	n/a	115571	NegAlcP2000	n/a	n/a	n/a	n/a
119.5580000000	n/a	119558	NegAlcP2000	n/a	n/a	n/a	n/a
128.6710000000	n/a	128671	NeuStim	n/a	n/a	n/a	n/a
131.7040000000	n/a	131704	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
144.9540000000	n/a	144954	PosStim	n/a	n/a	n/a	n/a
148.0540000000	n/a	148054	PosAlcP1000	n/a	n/a	n/a	n/a
153.0410000000	n/a	153041	PosAlcP1000	n/a	n/a	n/a	n/a
161.4540000000	n/a	161454	NeuStim	n/a	n/a	n/a	n/a
164.5540000000	n/a	164554	NeuAlcP2000	n/a	n/a	n/a	n/a
168.5410000000	n/a	168541	NeuAlcP2000	n/a	n/a	n/a	n/a
180.1700000000	n/a	180170	NegStim	n/a	n/a	n/a	n/a
183.2700000000	n/a	183270	NegAlcP3000	n/a	n/a	n/a	n/a
186.2570000000	n/a	186257	NegAlcP3000	n/a	n/a	n/a	n/a
196.9040000000	n/a	196904	PosStim	n/a	n/a	n/a	n/a
199.9370000000	n/a	199937	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
213.9040000000	n/a	213904	NeuStim	n/a	n/a	n/a	n/a
217.0040000000	n/a	217004	NeuAlcP1000	n/a	n/a	n/a	n/a
221.9910000000	n/a	221991	NeuAlcP1000	n/a	n/a	n/a	n/a
231.8040000000	n/a	231804	NegStim	n/a	n/a	n/a	n/a
234.9040000000	n/a	234904	NegNonAlcP3000	n/a	n/a	n/a	n/a
237.8910000000	n/a	237891	NegNonAlcP3000	n/a	n/a	n/a	n/a
248.7370000000	n/a	248737	PosStim	n/a	n/a	n/a	n/a
251.8370000000	n/a	251837	PosAlcP2000	n/a	n/a	n/a	n/a
255.8240000000	n/a	255824	PosAlcP2000	n/a	n/a	n/a	n/a
268.8700000000	n/a	268870	NegStim	n/a	n/a	n/a	n/a
271.9040000000	n/a	271904	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
286.1200000000	n/a	286120	PosStim	n/a	n/a	n/a	n/a
289.1540000000	n/a	289154	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
302.3540000000	n/a	302354	NeuStim	n/a	n/a	n/a	n/a
305.4540000000	n/a	305454	NeuNonAlcP3000	n/a	n/a	n/a	n/a
308.4410000000	n/a	308441	NeuNonAlcP3000	n/a	n/a	n/a	n/a
