onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.0820000000	n/a	9082	ignore	n/a	n/a	n/a	n/a
12.1820000000	n/a	12182	ignore	n/a	n/a	n/a	n/a
15.1920000000	n/a	15192	ignore	n/a	n/a	n/a	n/a
31.2320000000	n/a	31232	ignore	n/a	n/a	n/a	n/a
34.3320000000	n/a	34332	ignore	n/a	n/a	n/a	n/a
37.3190000000	n/a	37319	ignore	n/a	n/a	n/a	n/a
54.3160000000	n/a	54316	NeuStim	n/a	n/a	n/a	n/a
57.4160000000	n/a	57416	NeuNonAlcP1000	n/a	n/a	n/a	n/a
62.4030000000	n/a	62403	NeuNonAlcP1000	n/a	n/a	n/a	n/a
73.5160000000	n/a	73516	PosStim	n/a	n/a	n/a	n/a
76.5490000000	n/a	76549	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
92.6490000000	n/a	92649	NeuStim	n/a	n/a	n/a	n/a
95.7490000000	n/a	95749	NeuAlcP2000	n/a	n/a	n/a	n/a
99.7360000000	n/a	99736	NeuAlcP2000	n/a	n/a	n/a	n/a
110.1490000000	n/a	110149	NegStim	n/a	n/a	n/a	n/a
113.2490000000	n/a	113249	NegNonAlcP2000	n/a	n/a	n/a	n/a
117.2360000000	n/a	117236	NegNonAlcP2000	n/a	n/a	n/a	n/a
128.0650000000	n/a	128065	NeuStim	n/a	n/a	n/a	n/a
131.0990000000	n/a	131099	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
145.9820000000	n/a	145982	PosStim	n/a	n/a	n/a	n/a
149.0820000000	n/a	149082	PosNonAlcP1000	n/a	n/a	n/a	n/a
154.0690000000	n/a	154069	PosNonAlcP1000	n/a	n/a	n/a	n/a
164.2150000000	n/a	164215	NeuStim	n/a	n/a	n/a	n/a
167.3150000000	n/a	167315	NeuAlcP1000	n/a	n/a	n/a	n/a
172.3020000000	n/a	172302	NeuAlcP1000	n/a	n/a	n/a	n/a
180.9820000000	n/a	180982	NegStim	n/a	n/a	n/a	n/a
184.0150000000	n/a	184015	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
200.4320000000	n/a	200432	NeuStim	n/a	n/a	n/a	n/a
203.5320000000	n/a	203532	NeuNonAlcP1000	n/a	n/a	n/a	n/a
208.5190000000	n/a	208519	NeuNonAlcP1000	n/a	n/a	n/a	n/a
218.5320000000	n/a	218532	NegStim	n/a	n/a	n/a	n/a
221.6320000000	n/a	221632	NegNonAlcP3000	n/a	n/a	n/a	n/a
224.6190000000	n/a	224619	NegNonAlcP3000	n/a	n/a	n/a	n/a
236.2150000000	n/a	236215	PosStim	n/a	n/a	n/a	n/a
239.3150000000	n/a	239315	PosNonAlcP3000	n/a	n/a	n/a	n/a
242.3020000000	n/a	242302	PosNonAlcP3000	n/a	n/a	n/a	n/a
255.6490000000	n/a	255649	NeuStim	n/a	n/a	n/a	n/a
258.7490000000	n/a	258749	NeuAlcP1000	n/a	n/a	n/a	n/a
263.7360000000	n/a	263736	NeuAlcP1000	n/a	n/a	n/a	n/a
275.6320000000	n/a	275632	NegStim	n/a	n/a	n/a	n/a
278.6650000000	n/a	278665	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
292.8480000000	n/a	292848	PosStim	n/a	n/a	n/a	n/a
295.8820000000	n/a	295882	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
310.0480000000	n/a	310048	NegStim	n/a	n/a	n/a	n/a
313.1480000000	n/a	313148	NegAlcP3000	n/a	n/a	n/a	n/a
316.1350000000	n/a	316135	NegAlcP3000	n/a	n/a	n/a	n/a
326.8650000000	n/a	326865	NeuStim	n/a	n/a	n/a	n/a
329.8980000000	n/a	329898	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
346.4320000000	n/a	346432	PosStim	n/a	n/a	n/a	n/a
349.5320000000	n/a	349532	PosNonAlcP1000	n/a	n/a	n/a	n/a
354.5190000000	n/a	354519	PosNonAlcP1000	n/a	n/a	n/a	n/a
363.4980000000	n/a	363498	NegStim	n/a	n/a	n/a	n/a
366.5980000000	n/a	366598	NegAlcP3000	n/a	n/a	n/a	n/a
369.5850000000	n/a	369585	NegAlcP3000	n/a	n/a	n/a	n/a
381.9650000000	n/a	381965	NegStim	n/a	n/a	n/a	n/a
384.9980000000	n/a	384998	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
399.1820000000	n/a	399182	PosStim	n/a	n/a	n/a	n/a
402.2820000000	n/a	402282	PosAlcP1000	n/a	n/a	n/a	n/a
407.2690000000	n/a	407269	PosAlcP1000	n/a	n/a	n/a	n/a
417.0480000000	n/a	417048	NeuStim	n/a	n/a	n/a	n/a
420.0820000000	n/a	420082	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
433.4480000000	n/a	433448	NegStim	n/a	n/a	n/a	n/a
436.5480000000	n/a	436548	NegNonAlcP1000	n/a	n/a	n/a	n/a
441.5350000000	n/a	441535	NegNonAlcP1000	n/a	n/a	n/a	n/a
452.3820000000	n/a	452382	PosStim	n/a	n/a	n/a	n/a
455.4820000000	n/a	455482	PosAlcP3000	n/a	n/a	n/a	n/a
458.4690000000	n/a	458469	PosAlcP3000	n/a	n/a	n/a	n/a
469.1150000000	n/a	469115	NeuStim	n/a	n/a	n/a	n/a
472.2150000000	n/a	472215	NeuAlcP3000	n/a	n/a	n/a	n/a
475.2020000000	n/a	475202	NeuAlcP3000	n/a	n/a	n/a	n/a
486.8150000000	n/a	486815	NegStim	n/a	n/a	n/a	n/a
489.8480000000	n/a	489848	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
502.8980000000	n/a	502898	PosStim	n/a	n/a	n/a	n/a
505.9980000000	n/a	505998	PosNonAlcP2000	n/a	n/a	n/a	n/a
509.9850000000	n/a	509985	PosNonAlcP2000	n/a	n/a	n/a	n/a
520.3980000000	n/a	520398	NegStim	n/a	n/a	n/a	n/a
523.4980000000	n/a	523498	NegAlcP2000	n/a	n/a	n/a	n/a
527.4850000000	n/a	527485	NegAlcP2000	n/a	n/a	n/a	n/a
539.3310000000	n/a	539331	PosStim	n/a	n/a	n/a	n/a
542.4310000000	n/a	542431	PosAlcP2000	n/a	n/a	n/a	n/a
546.4180000000	n/a	546418	PosAlcP2000	n/a	n/a	n/a	n/a
556.7650000000	n/a	556765	NeuStim	n/a	n/a	n/a	n/a
559.7980000000	n/a	559798	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
574.9810000000	n/a	574981	NegStim	n/a	n/a	n/a	n/a
578.0810000000	n/a	578081	NegNonAlcP1000	n/a	n/a	n/a	n/a
583.0680000000	n/a	583068	NegNonAlcP1000	n/a	n/a	n/a	n/a
593.3650000000	n/a	593365	NeuStim	n/a	n/a	n/a	n/a
596.4650000000	n/a	596465	NeuNonAlcP1000	n/a	n/a	n/a	n/a
601.4520000000	n/a	601452	NeuNonAlcP1000	n/a	n/a	n/a	n/a
610.1650000000	n/a	610165	PosStim	n/a	n/a	n/a	n/a
613.2650000000	n/a	613265	PosNonAlcP3000	n/a	n/a	n/a	n/a
616.2520000000	n/a	616252	PosNonAlcP3000	n/a	n/a	n/a	n/a
629.5150000000	n/a	629515	NeuStim	n/a	n/a	n/a	n/a
632.5480000000	n/a	632548	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
648.2980000000	n/a	648298	NegStim	n/a	n/a	n/a	n/a
651.3310000000	n/a	651331	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
667.2310000000	n/a	667231	NeuStim	n/a	n/a	n/a	n/a
670.3310000000	n/a	670331	NeuNonAlcP3000	n/a	n/a	n/a	n/a
673.3180000000	n/a	673318	NeuNonAlcP3000	n/a	n/a	n/a	n/a
686.9140000000	n/a	686914	PosStim	n/a	n/a	n/a	n/a
690.0140000000	n/a	690014	PosAlcP1000	n/a	n/a	n/a	n/a
695.0010000000	n/a	695001	PosAlcP1000	n/a	n/a	n/a	n/a
703.2640000000	n/a	703264	NegStim	n/a	n/a	n/a	n/a
706.3640000000	n/a	706364	NegNonAlcP1000	n/a	n/a	n/a	n/a
711.3510000000	n/a	711351	NegNonAlcP1000	n/a	n/a	n/a	n/a
721.5810000000	n/a	721581	PosStim	n/a	n/a	n/a	n/a
724.6140000000	n/a	724614	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
740.2640000000	n/a	740264	NeuStim	n/a	n/a	n/a	n/a
743.3640000000	n/a	743364	NeuAlcP2000	n/a	n/a	n/a	n/a
747.3510000000	n/a	747351	NeuAlcP2000	n/a	n/a	n/a	n/a
758.0980000000	n/a	758098	PosStim	n/a	n/a	n/a	n/a
761.1980000000	n/a	761198	PosAlcP1000	n/a	n/a	n/a	n/a
766.1850000000	n/a	766185	PosAlcP1000	n/a	n/a	n/a	n/a
777.2140000000	n/a	777214	NegStim	n/a	n/a	n/a	n/a
780.2480000000	n/a	780248	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
795.6810000000	n/a	795681	PosStim	n/a	n/a	n/a	n/a
798.7810000000	n/a	798781	PosNonAlcP2000	n/a	n/a	n/a	n/a
802.7680000000	n/a	802768	PosNonAlcP2000	n/a	n/a	n/a	n/a
815.7310000000	n/a	815731	NegStim	n/a	n/a	n/a	n/a
818.8310000000	n/a	818831	NegNonAlcP3000	n/a	n/a	n/a	n/a
821.8180000000	n/a	821818	NegNonAlcP3000	n/a	n/a	n/a	n/a
832.8310000000	n/a	832831	NeuStim	n/a	n/a	n/a	n/a
835.9310000000	n/a	835931	NeuNonAlcP2000	n/a	n/a	n/a	n/a
839.9180000000	n/a	839918	NeuNonAlcP2000	n/a	n/a	n/a	n/a
849.1480000000	n/a	849148	NegStim	n/a	n/a	n/a	n/a
852.1810000000	n/a	852181	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
865.7810000000	n/a	865781	PosStim	n/a	n/a	n/a	n/a
868.8140000000	n/a	868814	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
885.6470000000	n/a	885647	NeuStim	n/a	n/a	n/a	n/a
888.7470000000	n/a	888747	NeuAlcP3000	n/a	n/a	n/a	n/a
891.7340000000	n/a	891734	NeuAlcP3000	n/a	n/a	n/a	n/a
904.7640000000	n/a	904764	NegStim	n/a	n/a	n/a	n/a
907.8640000000	n/a	907864	NegNonAlcP1000	n/a	n/a	n/a	n/a
912.8510000000	n/a	912851	NegNonAlcP1000	n/a	n/a	n/a	n/a
923.4970000000	n/a	923497	NeuStim	n/a	n/a	n/a	n/a
926.5970000000	n/a	926597	NeuNonAlcP2000	n/a	n/a	n/a	n/a
930.5840000000	n/a	930584	NeuNonAlcP2000	n/a	n/a	n/a	n/a
943.0140000000	n/a	943014	PosStim	n/a	n/a	n/a	n/a
946.0470000000	n/a	946047	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
962.2640000000	n/a	962264	NegStim	n/a	n/a	n/a	n/a
965.3640000000	n/a	965364	NegNonAlcP2000	n/a	n/a	n/a	n/a
969.3510000000	n/a	969351	NegNonAlcP2000	n/a	n/a	n/a	n/a
