onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.3700000000	n/a	9370	ignore	n/a	n/a	n/a	n/a
12.4690000000	n/a	12469	ignore	n/a	n/a	n/a	n/a
15.4870000000	n/a	15487	ignore	n/a	n/a	n/a	n/a
30.7530000000	n/a	30753	ignore	n/a	n/a	n/a	n/a
33.8530000000	n/a	33853	ignore	n/a	n/a	n/a	n/a
36.8400000000	n/a	36840	ignore	n/a	n/a	n/a	n/a
52.4190000000	n/a	52419	PosStim	n/a	n/a	n/a	n/a
55.4530000000	n/a	55453	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
69.3360000000	n/a	69336	NegStim	n/a	n/a	n/a	n/a
72.3690000000	n/a	72369	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
87.3190000000	n/a	87319	NeuStim	n/a	n/a	n/a	n/a
90.4190000000	n/a	90419	NeuNonAlcP2000	n/a	n/a	n/a	n/a
94.4060000000	n/a	94406	NeuNonAlcP2000	n/a	n/a	n/a	n/a
105.7690000000	n/a	105769	NegStim	n/a	n/a	n/a	n/a
108.8690000000	n/a	108869	NegAlcP2000	n/a	n/a	n/a	n/a
112.8560000000	n/a	112856	NegAlcP2000	n/a	n/a	n/a	n/a
125.7030000000	n/a	125703	NeuStim	n/a	n/a	n/a	n/a
128.7360000000	n/a	128736	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
143.1030000000	n/a	143103	PosStim	n/a	n/a	n/a	n/a
146.2030000000	n/a	146203	PosAlcP1000	n/a	n/a	n/a	n/a
151.1900000000	n/a	151190	PosAlcP1000	n/a	n/a	n/a	n/a
162.0360000000	n/a	162036	NeuStim	n/a	n/a	n/a	n/a
165.1360000000	n/a	165136	NeuAlcP2000	n/a	n/a	n/a	n/a
169.1230000000	n/a	169123	NeuAlcP2000	n/a	n/a	n/a	n/a
179.9190000000	n/a	179919	NegStim	n/a	n/a	n/a	n/a
183.0190000000	n/a	183019	NegAlcP3000	n/a	n/a	n/a	n/a
186.0060000000	n/a	186006	NegAlcP3000	n/a	n/a	n/a	n/a
196.3860000000	n/a	196386	PosStim	n/a	n/a	n/a	n/a
199.4190000000	n/a	199419	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
