onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.4620000000	n/a	9462	ignore	n/a	n/a	n/a	n/a
12.5620000000	n/a	12562	ignore	n/a	n/a	n/a	n/a
15.5760000000	n/a	15576	ignore	n/a	n/a	n/a	n/a
33.1620000000	n/a	33162	ignore	n/a	n/a	n/a	n/a
36.2620000000	n/a	36262	ignore	n/a	n/a	n/a	n/a
39.2490000000	n/a	39249	ignore	n/a	n/a	n/a	n/a
55.0790000000	n/a	55079	NeuStim	n/a	n/a	n/a	n/a
58.1790000000	n/a	58179	NeuNonAlcP1000	n/a	n/a	n/a	n/a
63.1660000000	n/a	63166	NeuNonAlcP1000	n/a	n/a	n/a	n/a
73.7120000000	n/a	73712	PosStim	n/a	n/a	n/a	n/a
76.7450000000	n/a	76745	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
90.6790000000	n/a	90679	NeuStim	n/a	n/a	n/a	n/a
93.7790000000	n/a	93779	NeuAlcP2000	n/a	n/a	n/a	n/a
97.7660000000	n/a	97766	NeuAlcP2000	n/a	n/a	n/a	n/a
107.6790000000	n/a	107679	NegStim	n/a	n/a	n/a	n/a
110.7790000000	n/a	110779	NegNonAlcP2000	n/a	n/a	n/a	n/a
114.7660000000	n/a	114766	NegNonAlcP2000	n/a	n/a	n/a	n/a
126.3120000000	n/a	126312	NeuStim	n/a	n/a	n/a	n/a
129.3450000000	n/a	129345	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
144.1120000000	n/a	144112	PosStim	n/a	n/a	n/a	n/a
147.2120000000	n/a	147212	PosNonAlcP1000	n/a	n/a	n/a	n/a
152.1990000000	n/a	152199	PosNonAlcP1000	n/a	n/a	n/a	n/a
163.7620000000	n/a	163762	NeuStim	n/a	n/a	n/a	n/a
166.8620000000	n/a	166862	NeuAlcP1000	n/a	n/a	n/a	n/a
171.8490000000	n/a	171849	NeuAlcP1000	n/a	n/a	n/a	n/a
181.6790000000	n/a	181679	NegStim	n/a	n/a	n/a	n/a
184.7120000000	n/a	184712	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
201.7450000000	n/a	201745	NeuStim	n/a	n/a	n/a	n/a
204.8450000000	n/a	204845	NeuNonAlcP1000	n/a	n/a	n/a	n/a
209.8320000000	n/a	209832	NeuNonAlcP1000	n/a	n/a	n/a	n/a
218.9950000000	n/a	218995	NegStim	n/a	n/a	n/a	n/a
222.0950000000	n/a	222095	NegNonAlcP3000	n/a	n/a	n/a	n/a
225.0820000000	n/a	225082	NegNonAlcP3000	n/a	n/a	n/a	n/a
238.8450000000	n/a	238845	PosStim	n/a	n/a	n/a	n/a
241.9450000000	n/a	241945	PosNonAlcP3000	n/a	n/a	n/a	n/a
244.9320000000	n/a	244932	PosNonAlcP3000	n/a	n/a	n/a	n/a
255.2120000000	n/a	255212	NeuStim	n/a	n/a	n/a	n/a
258.3120000000	n/a	258312	NeuAlcP1000	n/a	n/a	n/a	n/a
263.2990000000	n/a	263299	NeuAlcP1000	n/a	n/a	n/a	n/a
272.9120000000	n/a	272912	NegStim	n/a	n/a	n/a	n/a
