onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.2910000000	n/a	9291	ignore	n/a	n/a	n/a	n/a
12.3900000000	n/a	12390	ignore	n/a	n/a	n/a	n/a
15.4060000000	n/a	15406	ignore	n/a	n/a	n/a	n/a
31.4400000000	n/a	31440	ignore	n/a	n/a	n/a	n/a
34.5400000000	n/a	34540	ignore	n/a	n/a	n/a	n/a
37.5270000000	n/a	37527	ignore	n/a	n/a	n/a	n/a
55.1740000000	n/a	55174	PosStim	n/a	n/a	n/a	n/a
58.2070000000	n/a	58207	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
72.5070000000	n/a	72507	NegStim	n/a	n/a	n/a	n/a
75.5400000000	n/a	75540	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
90.4240000000	n/a	90424	NeuStim	n/a	n/a	n/a	n/a
93.5240000000	n/a	93524	NeuNonAlcP2000	n/a	n/a	n/a	n/a
97.5110000000	n/a	97511	NeuNonAlcP2000	n/a	n/a	n/a	n/a
109.9240000000	n/a	109924	NegStim	n/a	n/a	n/a	n/a
113.0240000000	n/a	113024	NegAlcP2000	n/a	n/a	n/a	n/a
117.0110000000	n/a	117011	NegAlcP2000	n/a	n/a	n/a	n/a
129.1900000000	n/a	129190	NeuStim	n/a	n/a	n/a	n/a
132.2240000000	n/a	132224	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
148.3070000000	n/a	148307	PosStim	n/a	n/a	n/a	n/a
151.4070000000	n/a	151407	PosAlcP1000	n/a	n/a	n/a	n/a
156.3940000000	n/a	156394	PosAlcP1000	n/a	n/a	n/a	n/a
167.9400000000	n/a	167940	NeuStim	n/a	n/a	n/a	n/a
171.0400000000	n/a	171040	NeuAlcP2000	n/a	n/a	n/a	n/a
175.0270000000	n/a	175027	NeuAlcP2000	n/a	n/a	n/a	n/a
185.5900000000	n/a	185590	NegStim	n/a	n/a	n/a	n/a
188.6900000000	n/a	188690	NegAlcP3000	n/a	n/a	n/a	n/a
191.6770000000	n/a	191677	NegAlcP3000	n/a	n/a	n/a	n/a
205.1070000000	n/a	205107	PosStim	n/a	n/a	n/a	n/a
208.1400000000	n/a	208140	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
223.5570000000	n/a	223557	NeuStim	n/a	n/a	n/a	n/a
226.6570000000	n/a	226657	NeuAlcP1000	n/a	n/a	n/a	n/a
231.6440000000	n/a	231644	NeuAlcP1000	n/a	n/a	n/a	n/a
239.8230000000	n/a	239823	NegStim	n/a	n/a	n/a	n/a
242.9230000000	n/a	242923	NegNonAlcP3000	n/a	n/a	n/a	n/a
245.9100000000	n/a	245910	NegNonAlcP3000	n/a	n/a	n/a	n/a
258.8570000000	n/a	258857	PosStim	n/a	n/a	n/a	n/a
261.9570000000	n/a	261957	PosAlcP2000	n/a	n/a	n/a	n/a
265.9440000000	n/a	265944	PosAlcP2000	n/a	n/a	n/a	n/a
278.8070000000	n/a	278807	NegStim	n/a	n/a	n/a	n/a
281.8400000000	n/a	281840	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
298.7400000000	n/a	298740	PosStim	n/a	n/a	n/a	n/a
301.7730000000	n/a	301773	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
316.6570000000	n/a	316657	NeuStim	n/a	n/a	n/a	n/a
319.7570000000	n/a	319757	NeuNonAlcP3000	n/a	n/a	n/a	n/a
322.7440000000	n/a	322744	NeuNonAlcP3000	n/a	n/a	n/a	n/a
336.2230000000	n/a	336223	NegStim	n/a	n/a	n/a	n/a
339.3230000000	n/a	339323	NegAlcP1000	n/a	n/a	n/a	n/a
344.3100000000	n/a	344310	NegAlcP1000	n/a	n/a	n/a	n/a
352.6400000000	n/a	352640	NeuStim	n/a	n/a	n/a	n/a
355.7400000000	n/a	355740	NeuAlcP3000	n/a	n/a	n/a	n/a
358.7270000000	n/a	358727	NeuAlcP3000	n/a	n/a	n/a	n/a
371.7570000000	n/a	371757	PosStim	n/a	n/a	n/a	n/a
374.8570000000	n/a	374857	PosAlcP3000	n/a	n/a	n/a	n/a
377.8440000000	n/a	377844	PosAlcP3000	n/a	n/a	n/a	n/a
391.2230000000	n/a	391223	NeuStim	n/a	n/a	n/a	n/a
394.2570000000	n/a	394257	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
409.3570000000	n/a	409357	NegStim	n/a	n/a	n/a	n/a
412.4570000000	n/a	412457	NegAlcP1000	n/a	n/a	n/a	n/a
417.4440000000	n/a	417444	NegAlcP1000	n/a	n/a	n/a	n/a
426.2730000000	n/a	426273	NeuStim	n/a	n/a	n/a	n/a
429.3730000000	n/a	429373	NeuNonAlcP3000	n/a	n/a	n/a	n/a
432.3600000000	n/a	432360	NeuNonAlcP3000	n/a	n/a	n/a	n/a
445.2230000000	n/a	445223	NegStim	n/a	n/a	n/a	n/a
448.3230000000	n/a	448323	NegNonAlcP2000	n/a	n/a	n/a	n/a
452.3100000000	n/a	452310	NegNonAlcP2000	n/a	n/a	n/a	n/a
465.0730000000	n/a	465073	PosStim	n/a	n/a	n/a	n/a
468.1060000000	n/a	468106	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
482.9900000000	n/a	482990	NeuStim	n/a	n/a	n/a	n/a
486.0230000000	n/a	486023	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
500.1060000000	n/a	500106	PosStim	n/a	n/a	n/a	n/a
