onset	duration	sample	trial_type	response_time	stim_file	value	correct
6.5390000000	n/a	6539	ignore	n/a	n/a	n/a	n/a
9.6390000000	n/a	9639	ignore	n/a	n/a	n/a	n/a
12.6500000000	n/a	12650	ignore	n/a	n/a	n/a	n/a
29.1560000000	n/a	29156	ignore	n/a	n/a	n/a	n/a
32.2560000000	n/a	32256	ignore	n/a	n/a	n/a	n/a
35.2430000000	n/a	35243	ignore	n/a	n/a	n/a	n/a
52.5230000000	n/a	52523	NeuStim	n/a	n/a	n/a	n/a
55.6230000000	n/a	55623	NeuNonAlcP1000	n/a	n/a	n/a	n/a
60.6100000000	n/a	60610	NeuNonAlcP1000	n/a	n/a	n/a	n/a
71.5890000000	n/a	71589	PosStim	n/a	n/a	n/a	n/a
74.6220000000	n/a	74622	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
91.1720000000	n/a	91172	NeuStim	n/a	n/a	n/a	n/a
94.2720000000	n/a	94272	NeuAlcP2000	n/a	n/a	n/a	n/a
98.2590000000	n/a	98259	NeuAlcP2000	n/a	n/a	n/a	n/a
108.4720000000	n/a	108472	NegStim	n/a	n/a	n/a	n/a
111.5720000000	n/a	111572	NegNonAlcP2000	n/a	n/a	n/a	n/a
115.5590000000	n/a	115559	NegNonAlcP2000	n/a	n/a	n/a	n/a
125.7220000000	n/a	125722	NeuStim	n/a	n/a	n/a	n/a
128.7560000000	n/a	128756	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
144.9560000000	n/a	144956	PosStim	n/a	n/a	n/a	n/a
148.0560000000	n/a	148056	PosNonAlcP1000	n/a	n/a	n/a	n/a
153.0430000000	n/a	153043	PosNonAlcP1000	n/a	n/a	n/a	n/a
164.8890000000	n/a	164889	NeuStim	n/a	n/a	n/a	n/a
167.9890000000	n/a	167989	NeuAlcP1000	n/a	n/a	n/a	n/a
172.9760000000	n/a	172976	NeuAlcP1000	n/a	n/a	n/a	n/a
183.0060000000	n/a	183006	NegStim	n/a	n/a	n/a	n/a
186.0390000000	n/a	186039	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
199.1220000000	n/a	199122	NeuStim	n/a	n/a	n/a	n/a
202.2220000000	n/a	202222	NeuNonAlcP1000	n/a	n/a	n/a	n/a
207.2090000000	n/a	207209	NeuNonAlcP1000	n/a	n/a	n/a	n/a
218.8220000000	n/a	218822	NegStim	n/a	n/a	n/a	n/a
221.9220000000	n/a	221922	NegNonAlcP3000	n/a	n/a	n/a	n/a
224.9090000000	n/a	224909	NegNonAlcP3000	n/a	n/a	n/a	n/a
237.7390000000	n/a	237739	PosStim	n/a	n/a	n/a	n/a
240.8390000000	n/a	240839	PosNonAlcP3000	n/a	n/a	n/a	n/a
243.8260000000	n/a	243826	PosNonAlcP3000	n/a	n/a	n/a	n/a
255.1720000000	n/a	255172	NeuStim	n/a	n/a	n/a	n/a
258.2720000000	n/a	258272	NeuAlcP1000	n/a	n/a	n/a	n/a
263.2590000000	n/a	263259	NeuAlcP1000	n/a	n/a	n/a	n/a
274.4220000000	n/a	274422	NegStim	n/a	n/a	n/a	n/a
277.4550000000	n/a	277455	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
292.4890000000	n/a	292489	PosStim	n/a	n/a	n/a	n/a
295.5220000000	n/a	295522	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
309.5050000000	n/a	309505	NegStim	n/a	n/a	n/a	n/a
312.6050000000	n/a	312605	NegAlcP3000	n/a	n/a	n/a	n/a
315.5920000000	n/a	315592	NegAlcP3000	n/a	n/a	n/a	n/a
326.6890000000	n/a	326689	NeuStim	n/a	n/a	n/a	n/a
329.7220000000	n/a	329722	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
343.1720000000	n/a	343172	PosStim	n/a	n/a	n/a	n/a
346.2720000000	n/a	346272	PosNonAlcP1000	n/a	n/a	n/a	n/a
351.2590000000	n/a	351259	PosNonAlcP1000	n/a	n/a	n/a	n/a
361.2390000000	n/a	361239	NegStim	n/a	n/a	n/a	n/a
364.3390000000	n/a	364339	NegAlcP3000	n/a	n/a	n/a	n/a
367.3260000000	n/a	367326	NegAlcP3000	n/a	n/a	n/a	n/a
377.9890000000	n/a	377989	NegStim	n/a	n/a	n/a	n/a
381.0220000000	n/a	381022	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
396.8890000000	n/a	396889	PosStim	n/a	n/a	n/a	n/a
399.9890000000	n/a	399989	PosAlcP1000	n/a	n/a	n/a	n/a
404.9760000000	n/a	404976	PosAlcP1000	n/a	n/a	n/a	n/a
416.9050000000	n/a	416905	NeuStim	n/a	n/a	n/a	n/a
419.9390000000	n/a	419939	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
436.8890000000	n/a	436889	NegStim	n/a	n/a	n/a	n/a
439.9890000000	n/a	439989	NegNonAlcP1000	n/a	n/a	n/a	n/a
444.9760000000	n/a	444976	NegNonAlcP1000	n/a	n/a	n/a	n/a
454.2220000000	n/a	454222	PosStim	n/a	n/a	n/a	n/a
457.3220000000	n/a	457322	PosAlcP3000	n/a	n/a	n/a	n/a
460.3090000000	n/a	460309	PosAlcP3000	n/a	n/a	n/a	n/a
472.7880000000	n/a	472788	NeuStim	n/a	n/a	n/a	n/a
475.8880000000	n/a	475888	NeuAlcP3000	n/a	n/a	n/a	n/a
478.8750000000	n/a	478875	NeuAlcP3000	n/a	n/a	n/a	n/a
490.7050000000	n/a	490705	NegStim	n/a	n/a	n/a	n/a
493.7380000000	n/a	493738	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
508.9550000000	n/a	508955	PosStim	n/a	n/a	n/a	n/a
512.0550000000	n/a	512055	PosNonAlcP2000	n/a	n/a	n/a	n/a
516.0420000000	n/a	516042	PosNonAlcP2000	n/a	n/a	n/a	n/a
525.8220000000	n/a	525822	NegStim	n/a	n/a	n/a	n/a
528.9220000000	n/a	528922	NegAlcP2000	n/a	n/a	n/a	n/a
532.9090000000	n/a	532909	NegAlcP2000	n/a	n/a	n/a	n/a
544.0050000000	n/a	544005	PosStim	n/a	n/a	n/a	n/a
547.1050000000	n/a	547105	PosAlcP2000	n/a	n/a	n/a	n/a
551.0920000000	n/a	551092	PosAlcP2000	n/a	n/a	n/a	n/a
560.6720000000	n/a	560672	NeuStim	n/a	n/a	n/a	n/a
563.7050000000	n/a	563705	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
576.8380000000	n/a	576838	NegStim	n/a	n/a	n/a	n/a
579.9380000000	n/a	579938	NegNonAlcP1000	n/a	n/a	n/a	n/a
584.9250000000	n/a	584925	NegNonAlcP1000	n/a	n/a	n/a	n/a
596.3880000000	n/a	596388	NeuStim	n/a	n/a	n/a	n/a
599.4880000000	n/a	599488	NeuNonAlcP1000	n/a	n/a	n/a	n/a
604.4750000000	n/a	604475	NeuNonAlcP1000	n/a	n/a	n/a	n/a
612.6050000000	n/a	612605	PosStim	n/a	n/a	n/a	n/a
615.7050000000	n/a	615705	PosNonAlcP3000	n/a	n/a	n/a	n/a
618.6920000000	n/a	618692	PosNonAlcP3000	n/a	n/a	n/a	n/a
630.9720000000	n/a	630972	NeuStim	n/a	n/a	n/a	n/a
634.0050000000	n/a	634005	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
648.8050000000	n/a	648805	NegStim	n/a	n/a	n/a	n/a
651.8380000000	n/a	651838	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
668.4380000000	n/a	668438	NeuStim	n/a	n/a	n/a	n/a
671.5380000000	n/a	671538	NeuNonAlcP3000	n/a	n/a	n/a	n/a
674.5250000000	n/a	674525	NeuNonAlcP3000	n/a	n/a	n/a	n/a
688.1050000000	n/a	688105	PosStim	n/a	n/a	n/a	n/a
691.2050000000	n/a	691205	PosAlcP1000	n/a	n/a	n/a	n/a
696.1920000000	n/a	696192	PosAlcP1000	n/a	n/a	n/a	n/a
705.8210000000	n/a	705821	NegStim	n/a	n/a	n/a	n/a
708.9210000000	n/a	708921	NegNonAlcP1000	n/a	n/a	n/a	n/a
713.9080000000	n/a	713908	NegNonAlcP1000	n/a	n/a	n/a	n/a
723.9550000000	n/a	723955	PosStim	n/a	n/a	n/a	n/a
726.9880000000	n/a	726988	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
742.2550000000	n/a	742255	NeuStim	n/a	n/a	n/a	n/a
745.3550000000	n/a	745355	NeuAlcP2000	n/a	n/a	n/a	n/a
749.3420000000	n/a	749342	NeuAlcP2000	n/a	n/a	n/a	n/a
761.5550000000	n/a	761555	PosStim	n/a	n/a	n/a	n/a
764.6550000000	n/a	764655	PosAlcP1000	n/a	n/a	n/a	n/a
769.6420000000	n/a	769642	PosAlcP1000	n/a	n/a	n/a	n/a
780.6380000000	n/a	780638	NegStim	n/a	n/a	n/a	n/a
783.6710000000	n/a	783671	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
800.1380000000	n/a	800138	PosStim	n/a	n/a	n/a	n/a
803.2380000000	n/a	803238	PosNonAlcP2000	n/a	n/a	n/a	n/a
807.2250000000	n/a	807225	PosNonAlcP2000	n/a	n/a	n/a	n/a
818.3380000000	n/a	818338	NegStim	n/a	n/a	n/a	n/a
821.4380000000	n/a	821438	NegNonAlcP3000	n/a	n/a	n/a	n/a
824.4250000000	n/a	824425	NegNonAlcP3000	n/a	n/a	n/a	n/a
835.3880000000	n/a	835388	NeuStim	n/a	n/a	n/a	n/a
838.4880000000	n/a	838488	NeuNonAlcP2000	n/a	n/a	n/a	n/a
842.4750000000	n/a	842475	NeuNonAlcP2000	n/a	n/a	n/a	n/a
852.4050000000	n/a	852405	NegStim	n/a	n/a	n/a	n/a
855.4380000000	n/a	855438	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
872.0380000000	n/a	872038	PosStim	n/a	n/a	n/a	n/a
875.0710000000	n/a	875071	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
889.2710000000	n/a	889271	NeuStim	n/a	n/a	n/a	n/a
892.3710000000	n/a	892371	NeuAlcP3000	n/a	n/a	n/a	n/a
895.3580000000	n/a	895358	NeuAlcP3000	n/a	n/a	n/a	n/a
906.3210000000	n/a	906321	NegStim	n/a	n/a	n/a	n/a
909.4210000000	n/a	909421	NegNonAlcP1000	n/a	n/a	n/a	n/a
914.4080000000	n/a	914408	NegNonAlcP1000	n/a	n/a	n/a	n/a
