onset	duration	sample	trial_type	response_time	stim_file	value	correct
8.9580000000	n/a	8958	ignore	n/a	n/a	n/a	n/a
12.0580000000	n/a	12058	ignore	n/a	n/a	n/a	n/a
15.0760000000	n/a	15076	ignore	n/a	n/a	n/a	n/a
33.0250000000	n/a	33025	ignore	n/a	n/a	n/a	n/a
36.1250000000	n/a	36125	ignore	n/a	n/a	n/a	n/a
39.1120000000	n/a	39112	ignore	n/a	n/a	n/a	n/a
55.8750000000	n/a	55875	NeuStim	n/a	n/a	n/a	n/a
58.9750000000	n/a	58975	NeuNonAlcP1000	n/a	n/a	n/a	n/a
63.9620000000	n/a	63962	NeuNonAlcP1000	n/a	n/a	n/a	n/a
73.7750000000	n/a	73775	PosStim	n/a	n/a	n/a	n/a
76.8080000000	n/a	76808	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
90.1420000000	n/a	90142	NeuStim	n/a	n/a	n/a	n/a
93.2420000000	n/a	93242	NeuAlcP2000	n/a	n/a	n/a	n/a
97.2290000000	n/a	97229	NeuAlcP2000	n/a	n/a	n/a	n/a
110.1750000000	n/a	110175	NegStim	n/a	n/a	n/a	n/a
113.2750000000	n/a	113275	NegNonAlcP2000	n/a	n/a	n/a	n/a
117.2620000000	n/a	117262	NegNonAlcP2000	n/a	n/a	n/a	n/a
129.1750000000	n/a	129175	NeuStim	n/a	n/a	n/a	n/a
132.2080000000	n/a	132208	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
145.9410000000	n/a	145941	PosStim	n/a	n/a	n/a	n/a
149.0410000000	n/a	149041	PosNonAlcP1000	n/a	n/a	n/a	n/a
154.0280000000	n/a	154028	PosNonAlcP1000	n/a	n/a	n/a	n/a
163.3750000000	n/a	163375	NeuStim	n/a	n/a	n/a	n/a
166.4750000000	n/a	166475	NeuAlcP1000	n/a	n/a	n/a	n/a
171.4620000000	n/a	171462	NeuAlcP1000	n/a	n/a	n/a	n/a
179.5580000000	n/a	179558	NegStim	n/a	n/a	n/a	n/a
182.5910000000	n/a	182591	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
199.0580000000	n/a	199058	NeuStim	n/a	n/a	n/a	n/a
202.1580000000	n/a	202158	NeuNonAlcP1000	n/a	n/a	n/a	n/a
207.1450000000	n/a	207145	NeuNonAlcP1000	n/a	n/a	n/a	n/a
215.9250000000	n/a	215925	NegStim	n/a	n/a	n/a	n/a
219.0250000000	n/a	219025	NegNonAlcP3000	n/a	n/a	n/a	n/a
222.0120000000	n/a	222012	NegNonAlcP3000	n/a	n/a	n/a	n/a
233.4580000000	n/a	233458	PosStim	n/a	n/a	n/a	n/a
236.5580000000	n/a	236558	PosNonAlcP3000	n/a	n/a	n/a	n/a
239.5450000000	n/a	239545	PosNonAlcP3000	n/a	n/a	n/a	n/a
252.5410000000	n/a	252541	NeuStim	n/a	n/a	n/a	n/a
255.6410000000	n/a	255641	NeuAlcP1000	n/a	n/a	n/a	n/a
260.6280000000	n/a	260628	NeuAlcP1000	n/a	n/a	n/a	n/a
270.7910000000	n/a	270791	NegStim	n/a	n/a	n/a	n/a
273.8250000000	n/a	273825	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
290.3910000000	n/a	290391	PosStim	n/a	n/a	n/a	n/a
293.4250000000	n/a	293425	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
307.9580000000	n/a	307958	NegStim	n/a	n/a	n/a	n/a
311.0580000000	n/a	311058	NegAlcP3000	n/a	n/a	n/a	n/a
314.0450000000	n/a	314045	NegAlcP3000	n/a	n/a	n/a	n/a
325.7410000000	n/a	325741	NeuStim	n/a	n/a	n/a	n/a
328.7750000000	n/a	328775	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
344.3580000000	n/a	344358	PosStim	n/a	n/a	n/a	n/a
347.4580000000	n/a	347458	PosNonAlcP1000	n/a	n/a	n/a	n/a
352.4450000000	n/a	352445	PosNonAlcP1000	n/a	n/a	n/a	n/a
364.2080000000	n/a	364208	NegStim	n/a	n/a	n/a	n/a
367.3080000000	n/a	367308	NegAlcP3000	n/a	n/a	n/a	n/a
370.2950000000	n/a	370295	NegAlcP3000	n/a	n/a	n/a	n/a
383.4740000000	n/a	383474	NegStim	n/a	n/a	n/a	n/a
386.5080000000	n/a	386508	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
401.8080000000	n/a	401808	PosStim	n/a	n/a	n/a	n/a
404.9080000000	n/a	404908	PosAlcP1000	n/a	n/a	n/a	n/a
409.8950000000	n/a	409895	PosAlcP1000	n/a	n/a	n/a	n/a
418.3240000000	n/a	418324	NeuStim	n/a	n/a	n/a	n/a
421.3580000000	n/a	421358	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
436.6410000000	n/a	436641	NegStim	n/a	n/a	n/a	n/a
439.7410000000	n/a	439741	NegNonAlcP1000	n/a	n/a	n/a	n/a
444.7280000000	n/a	444728	NegNonAlcP1000	n/a	n/a	n/a	n/a
454.6240000000	n/a	454624	PosStim	n/a	n/a	n/a	n/a
457.7240000000	n/a	457724	PosAlcP3000	n/a	n/a	n/a	n/a
460.7110000000	n/a	460711	PosAlcP3000	n/a	n/a	n/a	n/a
470.9240000000	n/a	470924	NeuStim	n/a	n/a	n/a	n/a
474.0240000000	n/a	474024	NeuAlcP3000	n/a	n/a	n/a	n/a
477.0110000000	n/a	477011	NeuAlcP3000	n/a	n/a	n/a	n/a
488.6080000000	n/a	488608	NegStim	n/a	n/a	n/a	n/a
491.6410000000	n/a	491641	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
508.3240000000	n/a	508324	PosStim	n/a	n/a	n/a	n/a
511.4240000000	n/a	511424	PosNonAlcP2000	n/a	n/a	n/a	n/a
515.4110000000	n/a	515411	PosNonAlcP2000	n/a	n/a	n/a	n/a
527.3410000000	n/a	527341	NegStim	n/a	n/a	n/a	n/a
530.4410000000	n/a	530441	NegAlcP2000	n/a	n/a	n/a	n/a
534.4280000000	n/a	534428	NegAlcP2000	n/a	n/a	n/a	n/a
545.0580000000	n/a	545058	PosStim	n/a	n/a	n/a	n/a
548.1580000000	n/a	548158	PosAlcP2000	n/a	n/a	n/a	n/a
552.1450000000	n/a	552145	PosAlcP2000	n/a	n/a	n/a	n/a
564.5080000000	n/a	564508	NeuStim	n/a	n/a	n/a	n/a
567.5410000000	n/a	567541	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
582.3580000000	n/a	582358	NegStim	n/a	n/a	n/a	n/a
585.4580000000	n/a	585458	NegNonAlcP1000	n/a	n/a	n/a	n/a
590.4450000000	n/a	590445	NegNonAlcP1000	n/a	n/a	n/a	n/a
600.2580000000	n/a	600258	NeuStim	n/a	n/a	n/a	n/a
603.3570000000	n/a	603357	NeuNonAlcP1000	n/a	n/a	n/a	n/a
608.3450000000	n/a	608345	NeuNonAlcP1000	n/a	n/a	n/a	n/a
618.6410000000	n/a	618641	PosStim	n/a	n/a	n/a	n/a
621.7410000000	n/a	621741	PosNonAlcP3000	n/a	n/a	n/a	n/a
624.7280000000	n/a	624728	PosNonAlcP3000	n/a	n/a	n/a	n/a
636.2570000000	n/a	636257	NeuStim	n/a	n/a	n/a	n/a
639.2910000000	n/a	639291	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
654.7910000000	n/a	654791	NegStim	n/a	n/a	n/a	n/a
657.8240000000	n/a	657824	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
674.2570000000	n/a	674257	NeuStim	n/a	n/a	n/a	n/a
677.3570000000	n/a	677357	NeuNonAlcP3000	n/a	n/a	n/a	n/a
680.3440000000	n/a	680344	NeuNonAlcP3000	n/a	n/a	n/a	n/a
693.1570000000	n/a	693157	PosStim	n/a	n/a	n/a	n/a
696.2570000000	n/a	696257	PosAlcP1000	n/a	n/a	n/a	n/a
701.2440000000	n/a	701244	PosAlcP1000	n/a	n/a	n/a	n/a
711.6910000000	n/a	711691	NegStim	n/a	n/a	n/a	n/a
714.7910000000	n/a	714791	NegNonAlcP1000	n/a	n/a	n/a	n/a
719.7780000000	n/a	719778	NegNonAlcP1000	n/a	n/a	n/a	n/a
727.8910000000	n/a	727891	PosStim	n/a	n/a	n/a	n/a
730.9240000000	n/a	730924	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
746.3570000000	n/a	746357	NeuStim	n/a	n/a	n/a	n/a
749.4570000000	n/a	749457	NeuAlcP2000	n/a	n/a	n/a	n/a
753.4440000000	n/a	753444	NeuAlcP2000	n/a	n/a	n/a	n/a
766.4410000000	n/a	766441	PosStim	n/a	n/a	n/a	n/a
769.5410000000	n/a	769541	PosAlcP1000	n/a	n/a	n/a	n/a
774.5280000000	n/a	774528	PosAlcP1000	n/a	n/a	n/a	n/a
786.1570000000	n/a	786157	NegStim	n/a	n/a	n/a	n/a
789.1910000000	n/a	789191	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
802.2910000000	n/a	802291	PosStim	n/a	n/a	n/a	n/a
805.3910000000	n/a	805391	PosNonAlcP2000	n/a	n/a	n/a	n/a
809.3780000000	n/a	809378	PosNonAlcP2000	n/a	n/a	n/a	n/a
820.5070000000	n/a	820507	NegStim	n/a	n/a	n/a	n/a
823.6070000000	n/a	823607	NegNonAlcP3000	n/a	n/a	n/a	n/a
826.5940000000	n/a	826594	NegNonAlcP3000	n/a	n/a	n/a	n/a
839.1410000000	n/a	839141	NeuStim	n/a	n/a	n/a	n/a
842.2410000000	n/a	842241	NeuNonAlcP2000	n/a	n/a	n/a	n/a
846.2280000000	n/a	846228	NeuNonAlcP2000	n/a	n/a	n/a	n/a
856.5400000000	n/a	856540	NegStim	n/a	n/a	n/a	n/a
859.5740000000	n/a	859574	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
873.6740000000	n/a	873674	PosStim	n/a	n/a	n/a	n/a
876.7070000000	n/a	876707	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
892.7400000000	n/a	892740	NeuStim	n/a	n/a	n/a	n/a
895.8400000000	n/a	895840	NeuAlcP3000	n/a	n/a	n/a	n/a
898.8270000000	n/a	898827	NeuAlcP3000	n/a	n/a	n/a	n/a
910.4900000000	n/a	910490	NegStim	n/a	n/a	n/a	n/a
913.5900000000	n/a	913590	NegNonAlcP1000	n/a	n/a	n/a	n/a
918.5770000000	n/a	918577	NegNonAlcP1000	n/a	n/a	n/a	n/a
927.4400000000	n/a	927440	NeuStim	n/a	n/a	n/a	n/a
