onset	duration	sample	trial_type	response_time	stim_file	value	correct
6.3280000000	n/a	6328	ignore	n/a	n/a	n/a	n/a
9.4280000000	n/a	9428	ignore	n/a	n/a	n/a	n/a
12.4390000000	n/a	12439	ignore	n/a	n/a	n/a	n/a
28.2780000000	n/a	28278	ignore	n/a	n/a	n/a	n/a
31.3780000000	n/a	31378	ignore	n/a	n/a	n/a	n/a
34.3650000000	n/a	34365	ignore	n/a	n/a	n/a	n/a
51.2280000000	n/a	51228	PosStim	n/a	n/a	n/a	n/a
54.2610000000	n/a	54261	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
68.5610000000	n/a	68561	NegStim	n/a	n/a	n/a	n/a
71.5940000000	n/a	71594	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
85.8280000000	n/a	85828	NeuStim	n/a	n/a	n/a	n/a
88.9280000000	n/a	88928	NeuNonAlcP2000	n/a	n/a	n/a	n/a
92.9150000000	n/a	92915	NeuNonAlcP2000	n/a	n/a	n/a	n/a
103.3280000000	n/a	103328	NegStim	n/a	n/a	n/a	n/a
106.4280000000	n/a	106428	NegAlcP2000	n/a	n/a	n/a	n/a
110.4150000000	n/a	110415	NegAlcP2000	n/a	n/a	n/a	n/a
121.9940000000	n/a	121994	NeuStim	n/a	n/a	n/a	n/a
125.0280000000	n/a	125028	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
141.7610000000	n/a	141761	PosStim	n/a	n/a	n/a	n/a
144.8610000000	n/a	144861	PosAlcP1000	n/a	n/a	n/a	n/a
149.8480000000	n/a	149848	PosAlcP1000	n/a	n/a	n/a	n/a
161.3440000000	n/a	161344	NeuStim	n/a	n/a	n/a	n/a
164.4440000000	n/a	164444	NeuAlcP2000	n/a	n/a	n/a	n/a
168.4310000000	n/a	168431	NeuAlcP2000	n/a	n/a	n/a	n/a
177.8940000000	n/a	177894	NegStim	n/a	n/a	n/a	n/a
180.9940000000	n/a	180994	NegAlcP3000	n/a	n/a	n/a	n/a
183.9810000000	n/a	183981	NegAlcP3000	n/a	n/a	n/a	n/a
195.1610000000	n/a	195161	PosStim	n/a	n/a	n/a	n/a
198.1940000000	n/a	198194	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
213.0780000000	n/a	213078	NeuStim	n/a	n/a	n/a	n/a
216.1780000000	n/a	216178	NeuAlcP1000	n/a	n/a	n/a	n/a
221.1650000000	n/a	221165	NeuAlcP1000	n/a	n/a	n/a	n/a
232.8270000000	n/a	232827	NegStim	n/a	n/a	n/a	n/a
235.9270000000	n/a	235927	NegNonAlcP3000	n/a	n/a	n/a	n/a
238.9140000000	n/a	238914	NegNonAlcP3000	n/a	n/a	n/a	n/a
251.4440000000	n/a	251444	PosStim	n/a	n/a	n/a	n/a
254.5440000000	n/a	254544	PosAlcP2000	n/a	n/a	n/a	n/a
258.5310000000	n/a	258531	PosAlcP2000	n/a	n/a	n/a	n/a
271.3610000000	n/a	271361	NegStim	n/a	n/a	n/a	n/a
274.3940000000	n/a	274394	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
289.0940000000	n/a	289094	PosStim	n/a	n/a	n/a	n/a
292.1270000000	n/a	292127	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
307.2270000000	n/a	307227	NeuStim	n/a	n/a	n/a	n/a
310.3270000000	n/a	310327	NeuNonAlcP3000	n/a	n/a	n/a	n/a
313.3140000000	n/a	313314	NeuNonAlcP3000	n/a	n/a	n/a	n/a
325.3610000000	n/a	325361	NegStim	n/a	n/a	n/a	n/a
328.4610000000	n/a	328461	NegAlcP1000	n/a	n/a	n/a	n/a
333.4480000000	n/a	333448	NegAlcP1000	n/a	n/a	n/a	n/a
344.1770000000	n/a	344177	NeuStim	n/a	n/a	n/a	n/a
347.2770000000	n/a	347277	NeuAlcP3000	n/a	n/a	n/a	n/a
350.2640000000	n/a	350264	NeuAlcP3000	n/a	n/a	n/a	n/a
362.3110000000	n/a	362311	PosStim	n/a	n/a	n/a	n/a
365.4110000000	n/a	365411	PosAlcP3000	n/a	n/a	n/a	n/a
368.3980000000	n/a	368398	PosAlcP3000	n/a	n/a	n/a	n/a
380.1610000000	n/a	380161	NeuStim	n/a	n/a	n/a	n/a
383.1940000000	n/a	383194	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
398.2270000000	n/a	398227	NegStim	n/a	n/a	n/a	n/a
401.3270000000	n/a	401327	NegAlcP1000	n/a	n/a	n/a	n/a
406.3140000000	n/a	406314	NegAlcP1000	n/a	n/a	n/a	n/a
418.0770000000	n/a	418077	NeuStim	n/a	n/a	n/a	n/a
421.1770000000	n/a	421177	NeuNonAlcP3000	n/a	n/a	n/a	n/a
424.1640000000	n/a	424164	NeuNonAlcP3000	n/a	n/a	n/a	n/a
436.4270000000	n/a	436427	NegStim	n/a	n/a	n/a	n/a
439.5270000000	n/a	439527	NegNonAlcP2000	n/a	n/a	n/a	n/a
443.5140000000	n/a	443514	NegNonAlcP2000	n/a	n/a	n/a	n/a
456.1600000000	n/a	456160	PosStim	n/a	n/a	n/a	n/a
459.1940000000	n/a	459194	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
475.7770000000	n/a	475777	NeuStim	n/a	n/a	n/a	n/a
478.8100000000	n/a	478810	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
492.6600000000	n/a	492660	PosStim	n/a	n/a	n/a	n/a
495.7600000000	n/a	495760	PosNonAlcP1000	n/a	n/a	n/a	n/a
500.7470000000	n/a	500747	PosNonAlcP1000	n/a	n/a	n/a	n/a
511.9940000000	n/a	511994	NegStim	n/a	n/a	n/a	n/a
515.0270000000	n/a	515027	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
530.6940000000	n/a	530694	NeuStim	n/a	n/a	n/a	n/a
533.7940000000	n/a	533794	NeuAlcP2000	n/a	n/a	n/a	n/a
537.7810000000	n/a	537781	NeuAlcP2000	n/a	n/a	n/a	n/a
550.2440000000	n/a	550244	PosStim	n/a	n/a	n/a	n/a
553.3440000000	n/a	553344	PosNonAlcP1000	n/a	n/a	n/a	n/a
558.3310000000	n/a	558331	PosNonAlcP1000	n/a	n/a	n/a	n/a
567.7270000000	n/a	567727	NeuStim	n/a	n/a	n/a	n/a
570.8270000000	n/a	570827	NeuNonAlcP1000	n/a	n/a	n/a	n/a
575.8140000000	n/a	575814	NeuNonAlcP1000	n/a	n/a	n/a	n/a
584.1440000000	n/a	584144	PosStim	n/a	n/a	n/a	n/a
587.1770000000	n/a	587177	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
603.3270000000	n/a	603327	NegStim	n/a	n/a	n/a	n/a
606.4270000000	n/a	606427	NegAlcP2000	n/a	n/a	n/a	n/a
610.4140000000	n/a	610414	NegAlcP2000	n/a	n/a	n/a	n/a
623.3600000000	n/a	623360	NeuStim	n/a	n/a	n/a	n/a
626.4600000000	n/a	626460	NeuAlcP3000	n/a	n/a	n/a	n/a
629.4470000000	n/a	629447	NeuAlcP3000	n/a	n/a	n/a	n/a
642.3270000000	n/a	642327	NegStim	n/a	n/a	n/a	n/a
645.3600000000	n/a	645360	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
659.2930000000	n/a	659293	NeuStim	n/a	n/a	n/a	n/a
662.3930000000	n/a	662393	NeuNonAlcP2000	n/a	n/a	n/a	n/a
666.3800000000	n/a	666380	NeuNonAlcP2000	n/a	n/a	n/a	n/a
675.7270000000	n/a	675727	PosStim	n/a	n/a	n/a	n/a
678.8270000000	n/a	678827	PosNonAlcP3000	n/a	n/a	n/a	n/a
681.8140000000	n/a	681814	PosNonAlcP3000	n/a	n/a	n/a	n/a
692.3770000000	n/a	692377	NegStim	n/a	n/a	n/a	n/a
695.4770000000	n/a	695477	NegAlcP3000	n/a	n/a	n/a	n/a
698.4640000000	n/a	698464	NegAlcP3000	n/a	n/a	n/a	n/a
709.5100000000	n/a	709510	PosStim	n/a	n/a	n/a	n/a
712.5430000000	n/a	712543	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
727.0270000000	n/a	727027	NegStim	n/a	n/a	n/a	n/a
730.1270000000	n/a	730127	NegAlcP1000	n/a	n/a	n/a	n/a
735.1140000000	n/a	735114	NegAlcP1000	n/a	n/a	n/a	n/a
743.4770000000	n/a	743477	PosStim	n/a	n/a	n/a	n/a
746.5100000000	n/a	746510	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
762.2270000000	n/a	762227	NegStim	n/a	n/a	n/a	n/a
765.3270000000	n/a	765327	NegNonAlcP2000	n/a	n/a	n/a	n/a
769.3140000000	n/a	769314	NegNonAlcP2000	n/a	n/a	n/a	n/a
779.9770000000	n/a	779977	PosStim	n/a	n/a	n/a	n/a
783.0770000000	n/a	783077	PosAlcP2000	n/a	n/a	n/a	n/a
787.0640000000	n/a	787064	PosAlcP2000	n/a	n/a	n/a	n/a
