onset	duration	sample	trial_type	response_time	stim_file	value	correct
9.3360000000	n/a	9336	ignore	n/a	n/a	n/a	n/a
12.4360000000	n/a	12436	ignore	n/a	n/a	n/a	n/a
15.4410000000	n/a	15441	ignore	n/a	n/a	n/a	n/a
31.1530000000	n/a	31153	ignore	n/a	n/a	n/a	n/a
34.2530000000	n/a	34253	ignore	n/a	n/a	n/a	n/a
37.2400000000	n/a	37240	ignore	n/a	n/a	n/a	n/a
54.8860000000	n/a	54886	NeuStim	n/a	n/a	n/a	n/a
57.9860000000	n/a	57986	NeuNonAlcP1000	n/a	n/a	n/a	n/a
62.9730000000	n/a	62973	NeuNonAlcP1000	n/a	n/a	n/a	n/a
72.3360000000	n/a	72336	PosStim	n/a	n/a	n/a	n/a
75.3690000000	n/a	75369	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
89.1030000000	n/a	89103	NeuStim	n/a	n/a	n/a	n/a
92.2030000000	n/a	92203	NeuAlcP2000	n/a	n/a	n/a	n/a
96.1900000000	n/a	96190	NeuAlcP2000	n/a	n/a	n/a	n/a
105.8190000000	n/a	105819	NegStim	n/a	n/a	n/a	n/a
108.9190000000	n/a	108919	NegNonAlcP2000	n/a	n/a	n/a	n/a
112.9060000000	n/a	112906	NegNonAlcP2000	n/a	n/a	n/a	n/a
123.9690000000	n/a	123969	NeuStim	n/a	n/a	n/a	n/a
127.0020000000	n/a	127002	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
142.7520000000	n/a	142752	PosStim	n/a	n/a	n/a	n/a
145.8520000000	n/a	145852	PosNonAlcP1000	n/a	n/a	n/a	n/a
150.8390000000	n/a	150839	PosNonAlcP1000	n/a	n/a	n/a	n/a
162.2860000000	n/a	162286	NeuStim	n/a	n/a	n/a	n/a
165.3860000000	n/a	165386	NeuAlcP1000	n/a	n/a	n/a	n/a
170.3730000000	n/a	170373	NeuAlcP1000	n/a	n/a	n/a	n/a
180.0360000000	n/a	180036	NegStim	n/a	n/a	n/a	n/a
183.0690000000	n/a	183069	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
198.5020000000	n/a	198502	NeuStim	n/a	n/a	n/a	n/a
201.6020000000	n/a	201602	NeuNonAlcP1000	n/a	n/a	n/a	n/a
206.5890000000	n/a	206589	NeuNonAlcP1000	n/a	n/a	n/a	n/a
